FileName,UsedPackage
AbstractDocument_4,False
AbstractDocument_5,True
CompositeView_1,True
CompositeView_2,False
DefaultCaret_1,True
DefaultCaret_2,True
DefaultCaret_3,False
DefaultCaret_4,True
DefaultCaret_7,True
DefaultCaret_8,False
DefaultCaret_23,True
DefaultCaret_24,False
DefaultEditorKit_BeepAction_1,True
DefaultEditorKit_DefaultKeyTypedAction_1,False
DefaultEditorKit_InsertTabAction_1,False
DefaultEditorKit_PasteAction_1,True
DefaultHighlighter_DefaultHighlightPainter_1,True
DefaultStyledDocument_3,True
DefaultStyledDocument_5,True
DefaultStyledDocument_AttributeUndoableEdit_4,False
DefaultStyledDocument_AttributeUndoableEdit_5,False
DocumentFilter_FilterBypass_2,False
DocumentFilter_FilterBypass_3,True
GapContent_1,True
GapContent_2,True
JTextComponent_1,False
JTextComponent_2,False
JTextComponent_3,True
JTextComponent_4,False
JTextComponent_5,True
PlainDocument_1,True
Segment_5,True
StyledEditorKit_BoldAction_1,True
StyledEditorKit_FontFamilyAction_1,False
StyledEditorKit_FontSizeAction_3,True
StyledEditorKit_ForegroundAction_3,False
StyledEditorKit_ItalicAction_1,False
StyledEditorKit_UnderlineAction_3,True
TabSet_2,True
View_1,True
View_2,True
