ClassName,Method,Return Type,Description
Cipher,doFinal(),byte[],"Finishes a multiple-part encryption or decryption operation, depending on how this cipher was initialized."
Cipher,doFinal(byte[] input),byte[],"Encrypts or decrypts data in a single-part operation, or finishes a multiple-part operation."
Cipher,"doFinal(byte[] output, int outputOffset)",int,"Finishes a multiple-part encryption or decryption operation, depending on how this cipher was initialized."
Cipher,"doFinal(byte[] input, int inputOffset, int inputLen)",byte[],"Encrypts or decrypts data in a single-part operation, or finishes a multiple-part operation."
Cipher,"doFinal(byte[] input, int inputOffset, int inputLen, byte[] output)",int,"Encrypts or decrypts data in a single-part operation, or finishes a multiple-part operation."
Cipher,"doFinal(byte[] input, int inputOffset, int inputLen, byte[] output, int outputOffset)",int,"Encrypts or decrypts data in a single-part operation, or finishes a multiple-part operation."
Cipher,"doFinal(ByteBuffer input, ByteBuffer output)",int,"Encrypts or decrypts data in a single-part operation, or finishes a multiple-part operation."
Cipher,getAlgorithm(),String,Returns the algorithm name of this Cipher object.
Cipher,getBlockSize(),int,Returns the block size (in bytes).
Cipher,getExemptionMechanism(),ExemptionMechanism,Returns the exemption mechanism object used with this cipher.
Cipher,getInstance(String transformation),static Cipher,Returns a Cipher object that implements the specified transformation.
Cipher,"getInstance(String transformation, Provider provider)",static Cipher,Returns a Cipher object that implements the specified transformation.
Cipher,"getInstance(String transformation, String provider)",static Cipher,Returns a Cipher object that implements the specified transformation.
Cipher,getIV(),byte[],Returns the initialization vector (IV) in a new buffer.
Cipher,getMaxAllowedKeyLength(String transformation),static int,Returns the maximum key length for the specified transformation according to the installed JCE jurisdiction policy files.
Cipher,getMaxAllowedParameterSpec(String transformation),static AlgorithmParameterSpec,Returns an AlgorithmParameterSpec object which contains the maximum cipher parameter value according to the jurisdiction policy file.
Cipher,getOutputSize(int inputLen),int,"Returns the length in bytes that an output buffer would need to be in order to hold the result of the next update or doFinal operation, given the input length inputLen (in bytes)."
Cipher,getParameters(),AlgorithmParameters,Returns the parameters used with this cipher.
Cipher,getProvider(),Provider,Returns the provider of this Cipher object.
Cipher,"init(int opmode, Certificate certificate)",void,Initializes this cipher with the public key from the given certificate.
Cipher,"init(int opmode, Certificate certificate, SecureRandom random)",void,Initializes this cipher with the public key from the given certificate and a source of randomness.
Cipher,"init(int opmode, Key key)",void,Initializes this cipher with a key.
