ClassName,Method,Return Type,Description
CalendarDataProvider,getFirstDayOfWeek(Locale locale),abstract int,Returns the first day of a week in the given locale.
CalendarDataProvider,getMinimalDaysInFirstWeek(Locale locale),abstract int,Returns the minimal number of days required in the first week of a year.
CalendarNameProvider,"getDisplayName(String calendarType, int field, int value, int style, Locale locale)",abstract String,Returns the string representation (display name) of the calendar field value in the given style and locale.
CalendarNameProvider,"getDisplayNames(String calendarType, int field, int style, Locale locale)","abstract Map<String,Integer>",Returns a Map containing all string representations (display names) of the Calendar field in the given style and locale and their corresponding field values.
CurrencyNameProvider,"getDisplayName(String currencyCode, Locale locale)",String,Returns a name for the currency that is appropriate for display to the user.
CurrencyNameProvider,"getSymbol(String currencyCode, Locale locale)",abstract String,Gets the symbol of the given currency code for the specified locale.
LocaleNameProvider,"getDisplayCountry(String countryCode, Locale locale)",abstract String,Returns a localized name for the given IETF BCP47 region code (either ISO 3166 country code or UN M.49 area codes) and the given locale that is appropriate for display to the user.
LocaleNameProvider,"getDisplayLanguage(String languageCode, Locale locale)",abstract String,Returns a localized name for the given IETF BCP47 language code and the given locale that is appropriate for display to the user.
LocaleNameProvider,"getDisplayScript(String scriptCode, Locale locale)",String,Returns a localized name for the given IETF BCP47 script code and the given locale that is appropriate for display to the user.
LocaleNameProvider,"getDisplayVariant(String variant, Locale locale)",abstract String,Returns a localized name for the given variant code and the given locale that is appropriate for display to the user.
LocaleServiceProvider,getAvailableLocales(),abstract Locale[],Returns an array of all locales for which this locale service provider can provide localized objects or names.
LocaleServiceProvider,isSupportedLocale(Locale locale),boolean,Returns true if the given locale is supported by this locale service provider.
TimeZoneNameProvider,"getDisplayName(String ID, boolean daylight, int style, Locale locale)",abstract String,Returns a name for the given time zone ID that's suitable for presentation to the user in the specified locale.
TimeZoneNameProvider,"getGenericDisplayName(String ID, int style, Locale locale)",String,Returns a generic name for the given time zone ID that's suitable for presentation to the user in the specified locale.
