ClassName,Method,Return Type,Description
AbstractInterruptibleChannel,begin(),protected void,Marks the beginning of an I/O operation that might block indefinitely.
AbstractInterruptibleChannel,close(),void,Closes this channel.
AbstractInterruptibleChannel,end(boolean completed),protected void,Marks the end of an I/O operation that might block indefinitely.
AbstractInterruptibleChannel,implCloseChannel(),protected abstract void,Closes this channel.
AbstractInterruptibleChannel,isOpen(),boolean,Tells whether or not this channel is open.
AbstractSelectableChannel,blockingLock(),Object,Retrieves the object upon which the configureBlocking and register methods synchronize.
AbstractSelectableChannel,configureBlocking(boolean block),SelectableChannel,Adjusts this channel's blocking mode.
AbstractSelectableChannel,implCloseChannel(),protected void,Closes this channel.
AbstractSelectableChannel,implCloseSelectableChannel(),protected abstract void,Closes this selectable channel.
AbstractSelectableChannel,implConfigureBlocking(boolean block),protected abstract void,Adjusts this channel's blocking mode.
AbstractSelectableChannel,isBlocking(),boolean,Tells whether or not every I/O operation on this channel will block until it completes.
AbstractSelectableChannel,isRegistered(),boolean,Tells whether or not this channel is currently registered with any selectors.
AbstractSelectableChannel,keyFor(Selector sel),SelectionKey,Retrieves the key representing the channel's registration with the given selector.
AbstractSelectableChannel,provider(),SelectorProvider,Returns the provider that created this channel.
AbstractSelectableChannel,"register(Selector sel, int ops, Object att)",SelectionKey,"Registers this channel with the given selector, returning a selection key."
AbstractSelectionKey,cancel(),void,Cancels this key.
AbstractSelectionKey,isValid(),boolean,Tells whether or not this key is valid.
AbstractSelector,begin(),protected void,Marks the beginning of an I/O operation that might block indefinitely.
AbstractSelector,cancelledKeys(),protected Set<SelectionKey>,Retrieves this selector's cancelled-key set.
AbstractSelector,close(),void,Closes this selector.
AbstractSelector,deregister(AbstractSelectionKey key),protected void,Removes the given key from its channel's key set.
AbstractSelector,end(),protected void,Marks the end of an I/O operation that might block indefinitely.
AbstractSelector,implCloseSelector(),protected abstract void,Closes this selector.
AbstractSelector,isOpen(),boolean,Tells whether or not this selector is open.
AbstractSelector,provider(),SelectorProvider,Returns the provider that created this channel.
AbstractSelector,"register(AbstractSelectableChannel ch, int ops, Object att)",protected abstract SelectionKey,Registers the given channel with this selector.
AsynchronousChannelProvider,"openAsynchronousChannelGroup(ExecutorService executor, int initialSize)",abstract AsynchronousChannelGroup,Constructs a new asynchronous channel group with the given thread pool.
AsynchronousChannelProvider,"openAsynchronousChannelGroup(int nThreads, ThreadFactory threadFactory)",abstract AsynchronousChannelGroup,Constructs a new asynchronous channel group with a fixed thread pool.
AsynchronousChannelProvider,openAsynchronousServerSocketChannel(AsynchronousChannelGroup group),abstract AsynchronousServerSocketChannel,Opens an asynchronous server-socket channel.
AsynchronousChannelProvider,openAsynchronousSocketChannel(AsynchronousChannelGroup group),abstract AsynchronousSocketChannel,Opens an asynchronous socket channel.
AsynchronousChannelProvider,provider(),static AsynchronousChannelProvider,Returns the system-wide default asynchronous channel provider for this invocation of the Java virtual machine.
SelectorProvider,inheritedChannel(),Channel,Returns the channel inherited from the entity that created this Java virtual machine.
SelectorProvider,openDatagramChannel(),abstract DatagramChannel,Opens a datagram channel.
SelectorProvider,openDatagramChannel(ProtocolFamily family),abstract DatagramChannel,Opens a datagram channel.
SelectorProvider,openPipe(),abstract Pipe,Opens a pipe.
SelectorProvider,openSelector(),abstract AbstractSelector,Opens a selector.
SelectorProvider,openServerSocketChannel(),abstract ServerSocketChannel,Opens a server-socket channel.
SelectorProvider,openSocketChannel(),abstract SocketChannel,Opens a socket channel.
SelectorProvider,provider(),static SelectorProvider,Returns the system-wide default selector provider for this invocation of the Java virtual machine.
