PackageName,URL,Description
java.applet,https://docs.oracle.com/javase/8/docs/api/java/applet/package-summary.html,Provides the classes necessary to create an applet and the classes an appletuses to communicate with its applet context.
java.awt,https://docs.oracle.com/javase/8/docs/api/java/awt/package-summary.html,Contains all of the classes for creating userinterfaces and for painting graphics and images.
java.awt.color,https://docs.oracle.com/javase/8/docs/api/java/awt/color/package-summary.html,Provides classes for color spaces.
java.awt.datatransfer,https://docs.oracle.com/javase/8/docs/api/java/awt/datatransfer/package-summary.html,Provides interfaces and classes for transferring databetween and within applications.
java.awt.dnd,https://docs.oracle.com/javase/8/docs/api/java/awt/dnd/package-summary.html,Drag and Drop is a direct manipulation gesture found in many GraphicalUser Interface systems that provides a mechanism to transferinformation between two entities logically associated with presentationelements in the GUI.
java.awt.event,https://docs.oracle.com/javase/8/docs/api/java/awt/event/package-summary.html,Provides interfaces and classes for dealing with differenttypes of events fired by AWT components.
java.awt.font,https://docs.oracle.com/javase/8/docs/api/java/awt/font/package-summary.html,Provides classes and interface relating to fonts.
java.awt.geom,https://docs.oracle.com/javase/8/docs/api/java/awt/geom/package-summary.html,Provides the Java 2D classes for defining and performing operationson objects related to two-dimensional geometry.
java.awt.im,https://docs.oracle.com/javase/8/docs/api/java/awt/im/package-summary.html,Provides classes and interfaces for the input method framework.
java.awt.im.spi,https://docs.oracle.com/javase/8/docs/api/java/awt/im/spi/package-summary.html,Provides interfaces that enable the development of input methodsthat can be used with any Java runtime environment.
java.awt.image,https://docs.oracle.com/javase/8/docs/api/java/awt/image/package-summary.html,Provides classes for creating and modifying images.
java.awt.image.renderable,https://docs.oracle.com/javase/8/docs/api/java/awt/image/renderable/package-summary.html,Provides classes and interfaces for producingrendering-independent images.
java.awt.print,https://docs.oracle.com/javase/8/docs/api/java/awt/print/package-summary.html,Provides classes and interfaces for a general printing API.
java.beans,https://docs.oracle.com/javase/8/docs/api/java/beans/package-summary.html,Contains classes related to developingbeans -- componentsbased on the JavaBeans™ architecture.
java.beans.beancontext,https://docs.oracle.com/javase/8/docs/api/java/beans/beancontext/package-summary.html,Provides classes and interfaces relating to bean context.
java.io,https://docs.oracle.com/javase/8/docs/api/java/io/package-summary.html,"Provides for system input and output through data streams,serialization and the file system."
java.lang,https://docs.oracle.com/javase/8/docs/api/java/lang/package-summary.html,Provides classes that are fundamental to the design of the Java programming language.
java.lang.annotation,https://docs.oracle.com/javase/8/docs/api/java/lang/annotation/package-summary.html,Provides library support for the Java programming language annotation facility.
java.lang.instrument,https://docs.oracle.com/javase/8/docs/api/java/lang/instrument/package-summary.html,Provides services that allow Java programming language agents to instrument programs running on the JVM.
java.lang.invoke,https://docs.oracle.com/javase/8/docs/api/java/lang/invoke/package-summary.html,The java.lang.invoke package contains dynamic language support provided directly by the Java core class libraries and virtual machine.
java.lang.management,https://docs.oracle.com/javase/8/docs/api/java/lang/management/package-summary.html,Provides the management interfaces for monitoring and management of theJava virtual machine and other components in the Java runtime.
java.lang.ref,https://docs.oracle.com/javase/8/docs/api/java/lang/ref/package-summary.html,"Provides reference-object classes, which support a limited degree ofinteraction with the garbage collector."
java.lang.reflect,https://docs.oracle.com/javase/8/docs/api/java/lang/reflect/package-summary.html,Provides classes and interfaces for obtaining reflective information about classes and objects.
java.math,https://docs.oracle.com/javase/8/docs/api/java/math/package-summary.html,Provides classes for performing arbitrary-precision integer arithmetic (BigInteger) and arbitrary-precision decimal arithmetic (BigDecimal).
java.net,https://docs.oracle.com/javase/8/docs/api/java/net/package-summary.html,Provides the classes for implementing networking applications.
java.nio,https://docs.oracle.com/javase/8/docs/api/java/nio/package-summary.html,"Defines buffers, which are containers for data, and provides an overview of theother NIO packages."
java.nio.channels,https://docs.oracle.com/javase/8/docs/api/java/nio/channels/package-summary.html,"Defines channels, which represent connections to entities that are capable of performing I/O operations, such as files and sockets; defines selectors, for multiplexed, non-blocking I/O operations."
java.nio.channels.spi,https://docs.oracle.com/javase/8/docs/api/java/nio/channels/spi/package-summary.html,Service-provider classes for the java.nio.channels package.
java.nio.charset,https://docs.oracle.com/javase/8/docs/api/java/nio/charset/package-summary.html,"Defines charsets, decoders, and encoders, for translating between bytes andUnicode characters."
java.nio.charset.spi,https://docs.oracle.com/javase/8/docs/api/java/nio/charset/spi/package-summary.html,Service-provider classes for the java.nio.charset package.
java.nio.file,https://docs.oracle.com/javase/8/docs/api/java/nio/file/package-summary.html,"Defines interfaces and classes for the Java virtual machine to access files, file attributes, and file systems."
java.nio.file.attribute,https://docs.oracle.com/javase/8/docs/api/java/nio/file/attribute/package-summary.html,Interfaces and classes providing access to file and file system attributes.
java.nio.file.spi,https://docs.oracle.com/javase/8/docs/api/java/nio/file/spi/package-summary.html,Service-provider classes for the java.nio.file package.
java.rmi,https://docs.oracle.com/javase/8/docs/api/java/rmi/package-summary.html,Provides the RMI package.
java.rmi.activation,https://docs.oracle.com/javase/8/docs/api/java/rmi/activation/package-summary.html,Provides support for RMI Object Activation.
java.rmi.dgc,https://docs.oracle.com/javase/8/docs/api/java/rmi/dgc/package-summary.html,Provides classes and interface for RMI distributedgarbage-collection (DGC).
