FileName,UsedPackage
Boolean_1,True
Boolean_2,True
Boolean_3,True
Boolean_4,True
Boolean_5,True
Byte_1,True
Byte_3,True
Byte_4,True
Byte_5,True
Character_1,True
Character_2,True
Character_3,True
Character_4,True
Character_Subset_5,True
Class_1,True
Class_4,True
Class_5,True
ClassValue_3,True
Compiler_4,True
Compiler_5,True
Double_1,True
Double_2,True
Double_3,True
Double_4,True
Double_5,True
Enum_1,True
Enum_4,False
Enum_5,False
Float_1,True
Float_2,True
Float_3,True
Float_4,True
Float_5,True
Integer_1,True
Integer_2,True
Integer_3,True
Integer_4,True
Integer_5,True
Long_2,True
Long_3,True
Long_4,True
Long_5,True
Math_1,True
Math_2,True
Math_3,True
Math_4,True
Math_5,True
Number_1,True
Number_2,True
Number_3,True
Number_4,False
Object_1,True
Object_2,True
Object_3,True
Object_4,False
Object_5,True
Process_1,True
Process_2,True
Process_3,True
Process_4,True
Process_5,True
ProcessBuilder_1,True
ProcessBuilder_2,True
ProcessBuilder_3,True
ProcessBuilder_5,True
ProcessBuilder_Redirect_1,True
ProcessBuilder_Redirect_3,True
ProcessBuilder_Redirect_5,True
Runtime_1,True
Runtime_2,True
Runtime_3,True
Runtime_4,True
Runtime_5,True
SecurityManager_1,True
SecurityManager_2,True
SecurityManager_3,True
SecurityManager_4,True
SecurityManager_5,True
Short_1,True
Short_2,True
Short_3,True
Short_4,True
Short_5,True
StackTraceElement_1,True
StackTraceElement_2,True
StackTraceElement_3,True
StackTraceElement_4,True
StackTraceElement_5,True
String_1,True
String_2,True
String_3,True
String_4,True
String_5,True
StringBuffer_1,True
StringBuffer_2,True
StringBuffer_3,True
StringBuffer_5,True
StringBuilder_1,True
StringBuilder_2,True
StringBuilder_3,True
StringBuilder_4,True
StringBuilder_5,True
System_1,True
System_2,True
System_3,True
System_4,True
System_5,True
Thread_1,True
Thread_2,True
Thread_3,True
Thread_4,True
Thread_5,True
ThreadGroup_1,True
ThreadGroup_2,True
ThreadGroup_3,True
ThreadGroup_5,True
ThreadLocal_1,True
ThreadLocal_2,True
ThreadLocal_3,True
Throwable_1,False
Throwable_2,False
Throwable_3,False
Throwable_4,False
Throwable_5,True
