ClassName,Method,Return Type,Description
SerialArray,clone(),Object,Returns a clone of this SerialArray.
SerialArray,equals(Object obj),boolean,Compares this SerialArray to the specified object.
SerialArray,free(),void,This method frees the SeriableArray object and releases the resources that it holds.
SerialArray,getArray(),Object,Returns a new array that is a copy of this SerialArray object.
SerialArray,"getArray(long index, int count)",Object,"Returns a new array that is a copy of a slice of this SerialArray object, starting with the element at the given index and containing the given number of consecutive elements."
SerialArray,"getArray(long index, int count, Map<String,Class<?>> map)",Object,"Returns a new array that is a copy of a slice of this SerialArray object, starting with the element at the given index and containing the given number of consecutive elements."
SerialArray,"getArray(Map<String,Class<?>> map)",Object,"Returns a new array that is a copy of this SerialArray object, using the given type map for the custom mapping of each element when the elements are SQL UDTs."
SerialArray,getBaseType(),int,Retrieves the SQL type of the elements in this SerialArray object.
SerialArray,getBaseTypeName(),String,Retrieves the DBMS-specific type name for the elements in this SerialArray object.
SerialArray,getResultSet(),ResultSet,Retrieves a ResultSet object that contains all of the elements in the ARRAY value that this SerialArray object represents.
SerialArray,"getResultSet(long index, int count)",ResultSet,Retrieves a ResultSet object holding the elements of the subarray that starts at index index and contains up to count successive elements.
SerialArray,"getResultSet(long index, int count, Map<String,Class<?>> map)",ResultSet,"Retrieves a result set holding the elements of the subarray that starts at Retrieves a ResultSet object that contains a subarray of the elements in this SerialArray object, starting at index index and containing up to count successive elements."
SerialArray,"getResultSet(Map<String,Class<?>> map)",ResultSet,Retrieves a ResultSet object that contains all of the elements of the SQL ARRAY value represented by this SerialArray object.
SerialArray,hashCode(),int,Returns a hash code for this SerialArray.
SerialBlob,clone(),Object,Returns a clone of this SerialBlob.
SerialBlob,equals(Object obj),boolean,Compares this SerialBlob to the specified object.
SerialBlob,free(),void,This method frees the SeriableBlob object and releases the resources that it holds.
SerialBlob,getBinaryStream(),InputStream,Returns this SerialBlob object as an input stream.
SerialBlob,"getBinaryStream(long pos, long length)",InputStream,"Returns an InputStream object that contains a partial Blob value, starting with the byte specified by pos, which is length bytes in length."
SerialBlob,"getBytes(long pos, int length)",byte[],"Copies the specified number of bytes, starting at the given position, from this SerialBlob object to another array of bytes."
SerialBlob,hashCode(),int,Returns a hash code for this SerialBlob.
SerialBlob,length(),long,Retrieves the number of bytes in this SerialBlob object's array of bytes.
SerialBlob,"position(Blob pattern, long start)",long,"Returns the position in this SerialBlob object where the given Blob object begins, starting the search at the specified position."
SerialBlob,"position(byte[] pattern, long start)",long,"Returns the position in this SerialBlob object where the given pattern of bytes begins, starting the search at the specified position."
SerialBlob,setBinaryStream(long pos),OutputStream,Retrieves a stream that can be used to write to the BLOB value that this Blob object represents.
SerialBlob,"setBytes(long pos, byte[] bytes)",int,"Writes the given array of bytes to the BLOB value that this Blob object represents, starting at position pos, and returns the number of bytes written."
SerialBlob,"setBytes(long pos, byte[] bytes, int offset, int length)",int,Writes all or part of the given byte array to the BLOB value that this Blob object represents and returns the number of bytes written.
SerialBlob,truncate(long length),void,Truncates the BLOB value that this Blob object represents to be len bytes in length.
SerialClob,clone(),Object,Returns a clone of this SerialClob.
SerialClob,equals(Object obj),boolean,Compares this SerialClob to the specified object.
SerialClob,free(),void,This method frees the SeriableClob object and releases the resources that it holds.
SerialClob,getAsciiStream(),InputStream,Retrieves the CLOB value designated by this SerialClob object as an ascii stream.
SerialClob,getCharacterStream(),Reader,Returns this SerialClob object's data as a stream of Unicode characters.
SerialClob,"getCharacterStream(long pos, long length)",Reader,"Returns a Reader object that contains a partial SerialClob value, starting with the character specified by pos, which is length characters in length."
SerialClob,"getSubString(long pos, int length)",String,"Returns a copy of the substring contained in this SerialClob object, starting at the given position and continuing for the specified number or characters."
SerialClob,hashCode(),int,Returns a hash code for this SerialClob.
SerialClob,length(),long,Retrieves the number of characters in this SerialClob object's array of characters.
SerialClob,"position(Clob searchStr, long start)",long,"Returns the position in this SerialClob object where the given Clob signature begins, starting the search at the specified position."
SerialClob,"position(String searchStr, long start)",long,"Returns the position in this SerialClob object where the given String object begins, starting the search at the specified position."
SerialClob,setAsciiStream(long pos),OutputStream,"Retrieves a stream to be used to write Ascii characters to the CLOB value that this SerialClob object represents, starting at position pos."
SerialClob,setCharacterStream(long pos),Writer,"Retrieves a stream to be used to write a stream of Unicode characters to the CLOB value that this SerialClob object represents, at position pos."
SerialClob,"setString(long pos, String str)",int,"Writes the given Java String to the CLOB value that this SerialClob object represents, at the position pos."
SerialClob,"setString(long pos, String str, int offset, int length)",int,"Writes len characters of str, starting at character offset, to the CLOB value that this Clob represents."
SerialClob,truncate(long length),void,Truncates the CLOB value that this SerialClob object represents so that it has a length of len characters.
SerialDatalink,clone(),Object,Returns a clone of this SerialDatalink.
SerialDatalink,equals(Object obj),boolean,Compares this SerialDatalink to the specified object.
SerialDatalink,getDatalink(),URL,Returns a new URL that is a copy of this SerialDatalink object.
SerialDatalink,hashCode(),int,Returns a hash code for this SerialDatalink.
SerialJavaObject,clone(),Object,Returns a clone of this SerialJavaObject.
SerialJavaObject,equals(Object o),boolean,Compares this SerialJavaObject to the specified object.
SerialJavaObject,getFields(),Field[],Returns an array of Field objects that contains each field of the object that this helper class is serializing.
SerialJavaObject,getObject(),Object,Returns an Object that is a copy of this SerialJavaObject object.
SerialJavaObject,hashCode(),int,Returns a hash code for this SerialJavaObject.
SerialRef,clone(),Object,Returns a clone of this SerialRef.
SerialRef,equals(Object obj),boolean,Compares this SerialRef to the specified object.
SerialRef,getBaseTypeName(),String,Returns a string describing the base type name of the Ref.
SerialRef,getObject(),Object,Returns an Object representing the SQL structured type to which this SerialRef object refers.
SerialRef,"getObject(Map<String,Class<?>> map)",Object,Returns an Object representing the SQL structured type to which this SerialRef object refers.
SerialRef,hashCode(),int,Returns a hash code for this SerialRef.
SerialRef,setObject(Object obj),void,Sets the SQL structured type that this SerialRef object references to the given Object object.
SerialStruct,clone(),Object,Returns a clone of this SerialStruct.
SerialStruct,equals(Object obj),boolean,Compares this SerialStruct to the specified object.
SerialStruct,getAttributes(),Object[],Retrieves an array of Object values containing the attributes of the SQL structured type that this SerialStruct object represents.
SerialStruct,"getAttributes(Map<String,Class<?>> map)",Object[],"Retrieves the attributes for the SQL structured type that this SerialStruct represents as an array of Object values, using the given type map for custom mapping if appropriate."
SerialStruct,getSQLTypeName(),String,Retrieves the SQL type name for this SerialStruct object.
SerialStruct,hashCode(),int,Returns a hash code for this SerialStruct.
SQLInputImpl,readArray(),Array,Reads an SQL ARRAY value from the stream and returns it as an Array object in the Java programming language.
SQLInputImpl,readAsciiStream(),InputStream,Returns the next attribute in this SQLInputImpl object as a stream of ASCII characters.
SQLInputImpl,readBigDecimal(),BigDecimal,Retrieves the next attribute in this SQLInputImpl object as a java.math.BigDecimal.
