FileName,UsedPackage
SerialArray_1,True
SerialArray_2,True
SerialArray_4,True
SerialBlob_1,True
SerialBlob_2,True
SerialBlob_3,True
SerialBlob_4,True
SerialBlob_5,True
SerialClob_1,True
SerialClob_2,True
SerialClob_3,True
SerialClob_4,True
SerialClob_5,True
SerialDatalink_3,True
SerialDatalink_4,True
SerialJavaObject_1,True
SerialJavaObject_5,True
SerialRef_1,True
SerialRef_2,True
SerialRef_3,True
SerialRef_5,True
SerialStruct_1,True
SerialStruct_2,True
SerialStruct_4,True
SQLInputImpl_1,True
SQLInputImpl_2,True
SQLInputImpl_3,True
SQLInputImpl_4,True
SQLInputImpl_5,True
SQLOutputImpl_1,True
SQLOutputImpl_2,True
SQLOutputImpl_3,True
SQLOutputImpl_4,True
SQLOutputImpl_5,True
