Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,IsoFields,1,int get(TemporalField field),False,NULL
0,IsoFields,2,"Temporal with(TemporalField field, long newValue)",False,NULL
0,IsoFields,3,Temporal adjustInto(Temporal temporal),False,NULL
0,IsoFields,4,"Temporal adjustIfPresent(Temporal temporal, TemporalAdjuster adjuster)",False,NULL
0,IsoFields,5,"Temporal adjust(Temporal temporal, TemporalAdjuster adjuster)",False,NULL
1,JulianFields,1,int get(TemporalField field),False,NULL
1,JulianFields,2,"Temporal with(TemporalField field, long newValue)",False,NULL
1,JulianFields,3,Temporal adjustInto(Temporal temporal),False,NULL
1,JulianFields,4,"Temporal adjustIfPresent(Temporal temporal, TemporalAdjuster adjuster)",False,NULL
1,JulianFields,5,"Temporal adjust(Temporal temporal, TemporalAdjuster adjuster)",False,NULL
2,TemporalAdjusters,1,TemporalAdjuster next(TemporalUnit unit),False,NULL
2,TemporalAdjusters,2,TemporalAdjuster nextOrSame(TemporalUnit unit),False,NULL
2,TemporalAdjusters,3,TemporalAdjuster previous(TemporalUnit unit),False,NULL
2,TemporalAdjusters,4,TemporalAdjuster previousOrSame(TemporalUnit unit),False,NULL
2,TemporalAdjusters,5,TemporalAdjuster with(TemporalAdjuster adjuster),False,NULL
3,TemporalQueries,1,TemporalQuery<T> queryFrom(TemporalAccessor temporal),False,NULL
3,TemporalQueries,2,"TemporalQuery<T> queryRange(TemporalAccessor startInclusive, TemporalAccessor endExclusive)",False,NULL
3,TemporalQueries,3,"TemporalQuery<T> queryRange(Temporal startInclusive, Temporal endExclusive)",False,NULL
3,TemporalQueries,4,"TemporalQuery<T> queryRange(TemporalAdjuster startAdjuster, TemporalAdjuster endAdjuster)",False,NULL
3,TemporalQueries,5,"TemporalQuery<T> queryRange(TemporalAdjuster startAdjuster, TemporalAdjuster endAdjuster, TemporalAccessor temporal)",False,NULL
4,ValueRange,1,"ValueRange getValidRange(TemporalField field, TemporalAmount amount)",False,NULL
4,ValueRange,2,"ValueRange getValidRange(TemporalField field, TemporalUnit unit, long amount)",False,NULL
4,ValueRange,3,"ValueRange getValidRange(TemporalField field, long amount)",False,NULL
4,ValueRange,4,ValueRange getValidRange(TemporalField field),False,NULL
4,ValueRange,5,"ValueRange getValidRange(TemporalField field, TemporalAmount amount, TemporalUnit unit)",False,NULL
5,WeekFields,1,"WeekFields weekFields = WeekFields.of(DayOfWeek.MONDAY, 4)",False,NULL
5,WeekFields,2,DayOfWeek getFirstDayOfWeek(),True,Gets the first day-of-week.
5,WeekFields,3,int getMinimalDaysInFirstWeek(),True,Gets the minimal number of days in the first week.
5,WeekFields,4,TemporalAdjuster next(DayOfWeek dayOfWeek),False,NULL
5,WeekFields,5,TemporalAdjuster previous(DayOfWeek dayOfWeek),False,NULL
