ClassName,Method,Return Type,Description
BufferedInputStream,available(),int,Returns an estimate of the number of bytes that can be read (or skipped over) from this input stream without blocking by the next invocation of a method for this input stream.
BufferedInputStream,close(),void,Closes this input stream and releases any system resources associated with the stream.
BufferedInputStream,mark(int readlimit),void,See the general contract of the mark method of InputStream.
BufferedInputStream,markSupported(),boolean,Tests if this input stream supports the mark and reset methods.
BufferedInputStream,read(),int,See the general contract of the read method of InputStream.
BufferedInputStream,"read(byte[] b, int off, int len)",int,"Reads bytes from this byte-input stream into the specified byte array, starting at the given offset."
BufferedInputStream,reset(),void,See the general contract of the reset method of InputStream.
BufferedInputStream,skip(long n),long,See the general contract of the skip method of InputStream.
BufferedOutputStream,flush(),void,Flushes this buffered output stream.
BufferedOutputStream,"write(byte[] b, int off, int len)",void,Writes len bytes from the specified byte array starting at offset off to this buffered output stream.
BufferedOutputStream,write(int b),void,Writes the specified byte to this buffered output stream.
BufferedReader,close(),void,Closes the stream and releases any system resources associated with it.
BufferedReader,lines(),Stream<String>,"Returns a Stream, the elements of which are lines read from this BufferedReader."
BufferedReader,mark(int readAheadLimit),void,Marks the present position in the stream.
BufferedReader,markSupported(),boolean,"Tells whether this stream supports the mark() operation, which it does."
BufferedReader,read(),int,Reads a single character.
BufferedReader,"read(char[] cbuf, int off, int len)",int,Reads characters into a portion of an array.
BufferedReader,readLine(),String,Reads a line of text.
BufferedReader,ready(),boolean,Tells whether this stream is ready to be read.
BufferedReader,reset(),void,Resets the stream to the most recent mark.
BufferedReader,skip(long n),long,Skips characters.
BufferedWriter,close(),void,"Closes the stream, flushing it first."
BufferedWriter,flush(),void,Flushes the stream.
BufferedWriter,newLine(),void,Writes a line separator.
BufferedWriter,"write(char[] cbuf, int off, int len)",void,Writes a portion of an array of characters.
BufferedWriter,write(int c),void,Writes a single character.
BufferedWriter,"write(String s, int off, int len)",void,Writes a portion of a String.
ByteArrayInputStream,available(),int,Returns the number of remaining bytes that can be read (or skipped over) from this input stream.
ByteArrayInputStream,close(),void,Closing a ByteArrayInputStream has no effect.
ByteArrayInputStream,mark(int readAheadLimit),void,Set the current marked position in the stream.
ByteArrayInputStream,markSupported(),boolean,Tests if this InputStream supports mark/reset.
ByteArrayInputStream,read(),int,Reads the next byte of data from this input stream.
ByteArrayInputStream,"read(byte[] b, int off, int len)",int,Reads up to len bytes of data into an array of bytes from this input stream.
ByteArrayInputStream,reset(),void,Resets the buffer to the marked position.
ByteArrayInputStream,skip(long n),long,Skips n bytes of input from this input stream.
ByteArrayOutputStream,close(),void,Closing a ByteArrayOutputStream has no effect.
ByteArrayOutputStream,reset(),void,"Resets the count field of this byte array output stream to zero, so that all currently accumulated output in the output stream is discarded."
ByteArrayOutputStream,size(),int,Returns the current size of the buffer.
ByteArrayOutputStream,toByteArray(),byte[],Creates a newly allocated byte array.
ByteArrayOutputStream,toString(),String,Converts the buffer's contents into a string decoding bytes using the platform's default character set.
ByteArrayOutputStream,toString(int hibyte),String,"Deprecated. This method does not properly convert bytes into characters. As of JDK 1.1, the preferred way to do this is via the toString(String enc) method, which takes an encoding-name argument, or the toString() method, which uses the platform's default character encoding."
ByteArrayOutputStream,toString(String charsetName),String,Converts the buffer's contents into a string by decoding the bytes using the named charset.
ByteArrayOutputStream,"write(byte[] b, int off, int len)",void,Writes len bytes from the specified byte array starting at offset off to this byte array output stream.
ByteArrayOutputStream,write(int b),void,Writes the specified byte to this byte array output stream.
ByteArrayOutputStream,writeTo(OutputStream out),void,"Writes the complete contents of this byte array output stream to the specified output stream argument, as if by calling the output stream's write method using out.write(buf, 0, count)."
CharArrayReader,close(),void,Closes the stream and releases any system resources associated with it.
CharArrayReader,mark(int readAheadLimit),void,Marks the present position in the stream.
CharArrayReader,markSupported(),boolean,"Tells whether this stream supports the mark() operation, which it does."
CharArrayReader,read(),int,Reads a single character.
CharArrayReader,"read(char[] b, int off, int len)",int,Reads characters into a portion of an array.
CharArrayReader,ready(),boolean,Tells whether this stream is ready to be read.
CharArrayReader,reset(),void,"Resets the stream to the most recent mark, or to the beginning if it has never been marked."
CharArrayReader,skip(long n),long,Skips characters.
CharArrayWriter,append(char c),CharArrayWriter,Appends the specified character to this writer.
CharArrayWriter,append(CharSequence csq),CharArrayWriter,Appends the specified character sequence to this writer.
CharArrayWriter,"append(CharSequence csq, int start, int end)",CharArrayWriter,Appends a subsequence of the specified character sequence to this writer.
CharArrayWriter,close(),void,Close the stream.
CharArrayWriter,flush(),void,Flush the stream.
CharArrayWriter,reset(),void,Resets the buffer so that you can use it again without throwing away the already allocated buffer.
CharArrayWriter,size(),int,Returns the current size of the buffer.
CharArrayWriter,toCharArray(),char[],Returns a copy of the input data.
CharArrayWriter,toString(),String,Converts input data to a string.
CharArrayWriter,"write(char[] c, int off, int len)",void,Writes characters to the buffer.
CharArrayWriter,write(int c),void,Writes a character to the buffer.
CharArrayWriter,"write(String str, int off, int len)",void,Write a portion of a string to the buffer.
CharArrayWriter,writeTo(Writer out),void,Writes the contents of the buffer to another character stream.
Console,flush(),void,Flushes the console and forces any buffered output to be written immediately .
Console,"format(String fmt, Object... args)",Console,Writes a formatted string to this console's output stream using the specified format string and arguments.
Console,"printf(String format, Object... args)",Console,A convenience method to write a formatted string to this console's output stream using the specified format string and arguments.
Console,reader(),Reader,Retrieves the unique Reader object associated with this console.
Console,readLine(),String,Reads a single line of text from the console.
Console,"readLine(String fmt, Object... args)",String,"Provides a formatted prompt, then reads a single line of text from the console."
Console,readPassword(),char[],Reads a password or passphrase from the console with echoing disabled
Console,"readPassword(String fmt, Object... args)",char[],"Provides a formatted prompt, then reads a password or passphrase from the console with echoing disabled."
Console,writer(),PrintWriter,Retrieves the unique PrintWriter object associated with this console.
DataInputStream,read(byte[] b),int,Reads some number of bytes from the contained input stream and stores them into the buffer array b.
DataInputStream,"read(byte[] b, int off, int len)",int,Reads up to len bytes of data from the contained input stream into an array of bytes.
DataInputStream,readBoolean(),boolean,See the general contract of the readBoolean method of DataInput.
DataInputStream,readByte(),byte,See the general contract of the readByte method of DataInput.
DataInputStream,readChar(),char,See the general contract of the readChar method of DataInput.
DataInputStream,readDouble(),double,See the general contract of the readDouble method of DataInput.
DataInputStream,readFloat(),float,See the general contract of the readFloat method of DataInput.
DataInputStream,readFully(byte[] b),void,See the general contract of the readFully method of DataInput.
DataInputStream,"readFully(byte[] b, int off, int len)",void,See the general contract of the readFully method of DataInput.
DataInputStream,readInt(),int,See the general contract of the readInt method of DataInput.
DataInputStream,readLine(),String,"Deprecated. This method does not properly convert bytes to characters. As of JDK 1.1, the preferred way to read lines of text is via the BufferedReader.readLine() method. Programs that use the DataInputStream class to read lines can be converted to use the BufferedReader class by replacing code of the form: DataInputStream d = new DataInputStream(in); with: BufferedReader d = new BufferedReader(new InputStreamReader(in));"
DataInputStream,readLong(),long,See the general contract of the readLong method of DataInput.
DataInputStream,readShort(),short,See the general contract of the readShort method of DataInput.
DataInputStream,readUnsignedByte(),int,See the general contract of the readUnsignedByte method of DataInput.
DataInputStream,readUnsignedShort(),int,See the general contract of the readUnsignedShort method of DataInput.
DataInputStream,readUTF(),String,See the general contract of the readUTF method of DataInput.
DataInputStream,readUTF(DataInput in),static String,Reads from the stream in a representation of a Unicode character string encoded in modified UTF-8 format; this string of characters is then returned as a String.
DataInputStream,skipBytes(int n),int,See the general contract of the skipBytes method of DataInput.
DataOutputStream,flush(),void,Flushes this data output stream.
DataOutputStream,size(),int,"Returns the current value of the counter written, the number of bytes written to this data output stream so far."
DataOutputStream,"write(byte[] b, int off, int len)",void,Writes len bytes from the specified byte array starting at offset off to the underlying output stream.
DataOutputStream,write(int b),void,Writes the specified byte (the low eight bits of the argument b) to the underlying output stream.
DataOutputStream,writeBoolean(boolean v),void,Writes a boolean to the underlying output stream as a 1-byte value.
DataOutputStream,writeByte(int v),void,Writes out a byte to the underlying output stream as a 1-byte value.
DataOutputStream,writeBytes(String s),void,Writes out the string to the underlying output stream as a sequence of bytes.
DataOutputStream,writeChar(int v),void,"Writes a char to the underlying output stream as a 2-byte value, high byte first."
DataOutputStream,writeChars(String s),void,Writes a string to the underlying output stream as a sequence of characters.
DataOutputStream,writeDouble(double v),void,"Converts the double argument to a long using the doubleToLongBits method in class Double, and then writes that long value to the underlying output stream as an 8-byte quantity, high byte first."
DataOutputStream,writeFloat(float v),void,"Converts the float argument to an int using the floatToIntBits method in class Float, and then writes that int value to the underlying output stream as a 4-byte quantity, high byte first."
DataOutputStream,writeInt(int v),void,"Writes an int to the underlying output stream as four bytes, high byte first."
DataOutputStream,writeLong(long v),void,"Writes a long to the underlying output stream as eight bytes, high byte first."
DataOutputStream,writeShort(int v),void,"Writes a short to the underlying output stream as two bytes, high byte first."
DataOutputStream,writeUTF(String str),void,Writes a string to the underlying output stream using modified UTF-8 encoding in a machine-independent manner.
File,canExecute(),boolean,Tests whether the application can execute the file denoted by this abstract pathname.
File,canRead(),boolean,Tests whether the application can read the file denoted by this abstract pathname.
File,canWrite(),boolean,Tests whether the application can modify the file denoted by this abstract pathname.
File,compareTo(File pathname),int,Compares two abstract pathnames lexicographically.
File,createNewFile(),boolean,"Atomically creates a new, empty file named by this abstract pathname if and only if a file with this name does not yet exist."
File,"createTempFile(String prefix, String suffix)",static File,"Creates an empty file in the default temporary-file directory, using the given prefix and suffix to generate its name."
File,"createTempFile(String prefix, String suffix, File directory)",static File,"Creates a new empty file in the specified directory, using the given prefix and suffix strings to generate its name."
File,delete(),boolean,Deletes the file or directory denoted by this abstract pathname.
File,deleteOnExit(),void,Requests that the file or directory denoted by this abstract pathname be deleted when the virtual machine terminates.
File,equals(Object obj),boolean,Tests this abstract pathname for equality with the given object.
File,exists(),boolean,Tests whether the file or directory denoted by this abstract pathname exists.
File,getAbsoluteFile(),File,Returns the absolute form of this abstract pathname.
File,getAbsolutePath(),String,Returns the absolute pathname string of this abstract pathname.
File,getCanonicalFile(),File,Returns the canonical form of this abstract pathname.
File,getCanonicalPath(),String,Returns the canonical pathname string of this abstract pathname.
File,getFreeSpace(),long,Returns the number of unallocated bytes in the partition named by this abstract path name.
File,getName(),String,Returns the name of the file or directory denoted by this abstract pathname.
File,getParent(),String,"Returns the pathname string of this abstract pathname's parent, or null if this pathname does not name a parent directory."
File,getParentFile(),File,"Returns the abstract pathname of this abstract pathname's parent, or null if this pathname does not name a parent directory."
File,getPath(),String,Converts this abstract pathname into a pathname string.
File,getTotalSpace(),long,Returns the size of the partition named by this abstract pathname.
File,getUsableSpace(),long,Returns the number of bytes available to this virtual machine on the partition named by this abstract pathname.
File,hashCode(),int,Computes a hash code for this abstract pathname.
File,isAbsolute(),boolean,Tests whether this abstract pathname is absolute.
File,isDirectory(),boolean,Tests whether the file denoted by this abstract pathname is a directory.
File,isFile(),boolean,Tests whether the file denoted by this abstract pathname is a normal file.
File,isHidden(),boolean,Tests whether the file named by this abstract pathname is a hidden file.
File,lastModified(),long,Returns the time that the file denoted by this abstract pathname was last modified.
File,length(),long,Returns the length of the file denoted by this abstract pathname.
File,list(),String[],Returns an array of strings naming the files and directories in the directory denoted by this abstract pathname.
File,list(FilenameFilter filter),String[],Returns an array of strings naming the files and directories in the directory denoted by this abstract pathname that satisfy the specified filter.
File,listFiles(),File[],Returns an array of abstract pathnames denoting the files in the directory denoted by this abstract pathname.
File,listFiles(FileFilter filter),File[],Returns an array of abstract pathnames denoting the files and directories in the directory denoted by this abstract pathname that satisfy the specified filter.
File,listFiles(FilenameFilter filter),File[],Returns an array of abstract pathnames denoting the files and directories in the directory denoted by this abstract pathname that satisfy the specified filter.
File,listRoots(),static File[],List the available filesystem roots.
File,mkdir(),boolean,Creates the directory named by this abstract pathname.
File,mkdirs(),boolean,"Creates the directory named by this abstract pathname, including any necessary but nonexistent parent directories."
File,renameTo(File dest),boolean,Renames the file denoted by this abstract pathname.
File,setExecutable(boolean executable),boolean,A convenience method to set the owner's execute permission for this abstract pathname.
File,"setExecutable(boolean executable, boolean ownerOnly)",boolean,Sets the owner's or everybody's execute permission for this abstract pathname.
File,setLastModified(long time),boolean,Sets the last-modified time of the file or directory named by this abstract pathname.
File,setReadable(boolean readable),boolean,A convenience method to set the owner's read permission for this abstract pathname.
File,"setReadable(boolean readable, boolean ownerOnly)",boolean,Sets the owner's or everybody's read permission for this abstract pathname.
File,setReadOnly(),boolean,Marks the file or directory named by this abstract pathname so that only read operations are allowed.
File,setWritable(boolean writable),boolean,A convenience method to set the owner's write permission for this abstract pathname.
File,"setWritable(boolean writable, boolean ownerOnly)",boolean,Sets the owner's or everybody's write permission for this abstract pathname.
File,toPath(),Path,Returns a java.nio.file.Path object constructed from the this abstract path.
File,toString(),String,Returns the pathname string of this abstract pathname.
File,toURI(),URI,Constructs a file: URI that represents this abstract pathname.
File,toURL(),URL,"Deprecated. This method does not automatically escape characters that are illegal in URLs. It is recommended that new code convert an abstract pathname into a URL by first converting it into a URI, via the toURI method, and then converting the URI into a URL via the URI.toURL method."
FileDescriptor,sync(),void,Force all system buffers to synchronize with the underlying device.
FileDescriptor,valid(),boolean,Tests if this file descriptor object is valid.
FileInputStream,available(),int,Returns an estimate of the number of remaining bytes that can be read (or skipped over) from this input stream without blocking by the next invocation of a method for this input stream.
FileInputStream,close(),void,Closes this file input stream and releases any system resources associated with the stream.
FileInputStream,finalize(),protected void,Ensures that the close method of this file input stream is called when there are no more references to it.
FileInputStream,getChannel(),FileChannel,Returns the unique FileChannel object associated with this file input stream.
