Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,BufferedInputStream,1,int read(),True,See the general contract of the read method of InputStream.
0,BufferedInputStream,2,int read(byte[] b),False,NULL
0,BufferedInputStream,3,"int read(byte[] b, int off, int len)",True,"Reads bytes from this byte-input stream into the specified byte array, starting at the given offset."
0,BufferedInputStream,4,long skip(long n),True,See the general contract of the skip method of InputStream.
0,BufferedInputStream,5,int available(),True,Returns an estimate of the number of bytes that can be read (or skipped over) from this input stream without blocking by the next invocation of a method for this input stream.
1,BufferedOutputStream,1,BufferedOutputStream(OutputStream out),False,NULL
1,BufferedOutputStream,2,void write(int b),True,Writes the specified byte to this buffered output stream.
1,BufferedOutputStream,3,void write(byte[] b),False,NULL
1,BufferedOutputStream,4,"void write(byte[] b, int off, int len)",True,Writes len bytes from the specified byte array starting at offset off to this buffered output stream.
1,BufferedOutputStream,5,void flush(),True,Flushes this buffered output stream.
2,BufferedReader,1,BufferedReader(Reader in),False,NULL
2,BufferedReader,2,"BufferedReader(Reader in, int sz)",False,NULL
2,BufferedReader,3,String readLine(),True,Reads a line of text.
2,BufferedReader,4,"String readLine(char[] cbuf, int off, int len)",False,NULL
2,BufferedReader,5,void close(),True,Closes the stream and releases any system resources associated with it.
3,BufferedWriter,1,BufferedWriter(Writer out),False,NULL
3,BufferedWriter,2,void write(int c),True,Writes a single character.
3,BufferedWriter,3,void write(char[] cbuf),False,NULL
3,BufferedWriter,4,void write(String str),False,NULL
3,BufferedWriter,5,void newLine(),True,Writes a line separator.
4,ByteArrayInputStream,1,ByteArrayInputStream(byte[] buf),False,NULL
4,ByteArrayInputStream,2,int read(),True,Reads the next byte of data from this input stream.
4,ByteArrayInputStream,3,"int read(byte b[], int off, int len)",False,NULL
4,ByteArrayInputStream,4,long skip(long n),True,Skips n bytes of input from this input stream.
4,ByteArrayInputStream,5,int available(),True,Returns the number of remaining bytes that can be read (or skipped over) from this input stream.
5,ByteArrayOutputStream,1,ByteArrayOutputStream(),False,NULL
5,ByteArrayOutputStream,2,void write(int b),True,Writes the specified byte to this byte array output stream.
5,ByteArrayOutputStream,3,void write(byte[] b),False,NULL
5,ByteArrayOutputStream,4,"void write(byte[] b, int off, int len)",True,Writes len bytes from the specified byte array starting at offset off to this byte array output stream.
5,ByteArrayOutputStream,5,byte[] toByteArray(),True,Creates a newly allocated byte array.
