Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,ConsoleHandler,1,void close(),True,Override StreamHandler.close to do a flush but not to close the output stream.
0,ConsoleHandler,2,void flush(),False,NULL
0,ConsoleHandler,3,void publish(LogRecord record),True,Publish a LogRecord.
0,ConsoleHandler,4,void setLevel(Level newLevel),False,NULL
0,ConsoleHandler,5,void setFormatter(Formatter newFormatter),False,NULL
1,ErrorManager,1,"void error(String message, Exception ex, int code)",True,The error method is called when a Handler failure occurs.
1,ErrorManager,2,void info(String message),False,NULL
1,ErrorManager,3,void warning(String message),False,NULL
1,ErrorManager,4,void severe(String message),False,NULL
1,ErrorManager,5,"void throwable(String message, Throwable t)",False,NULL
2,FileHandler,1,"FileHandler(String pattern, int limit, int count)",False,NULL
2,FileHandler,2,"FileHandler(String pattern, int limit, int count, boolean append)",False,NULL
2,FileHandler,3,void publish(LogRecord record),True,Format and publish a LogRecord.
2,FileHandler,4,void flush(),False,NULL
2,FileHandler,5,void close(),True,Close all the files.
3,Formatter,1,String format(LogRecord record),True,Format the given log record and return the formatted string.
3,Formatter,2,String getHead(Handler h),True,Return the header string for a set of formatted records.
3,Formatter,3,String getTail(Handler h),True,Return the tail string for a set of formatted records.
3,Formatter,4,void setContext(LoggingContext context),False,NULL
3,Formatter,5,void setFormat(String format),False,NULL
4,Handler,1,void close(),True,Close the Handler and free all associated resources.
4,Handler,2,void flush(),True,Flush any buffered output.
4,Handler,3,void publish(LogRecord record),True,Publish a LogRecord.
4,Handler,4,void setFormatter(Formatter newFormatter),True,Set a Formatter.
4,Handler,5,void setFilter(Filter newFilter),True,Set a Filter to control output on this Handler.
4,Handler,6,void setLevel(Level newLevel),True,Set the log level specifying which message levels will be logged by this Handler.
4,Handler,7,void setEncoding(String encoding),True,Set the character encoding used by this Handler.
4,Handler,8,void setErrorManager(ErrorManager em),True,Define an ErrorManager for this Handler.
4,Handler,9,void setOutputStream(OutputStream out),False,NULL
4,Handler,10,void setOutputStream(OutputStream out),False,NULL
4,Handler,11,void setOutputStream(OutputStream out),False,NULL
4,Handler,12,void setOutputStream(OutputStream out),False,NULL
4,Handler,13,void setOutputStream(OutputStream out),False,NULL
4,Handler,14,void setOutputStream(OutputStream out),False,NULL
4,Handler,15,void setOutputStream(OutputStream out),False,NULL
4,Handler,16,void setOutputStream(OutputStream out),False,NULL
4,Handler,17,void setOutputStream(OutputStream out),False,NULL
4,Handler,18,void setOutputStream(OutputStream out),False,NULL
4,Handler,19,void setOutputStream(OutputStream out),False,NULL
4,Handler,20,void setOutputStream(OutputStream out),False,NULL
5,Level,1,Level ALL,False,NULL
5,Level,2,Level CONFIG,False,NULL
5,Level,3,Level FINE,False,NULL
5,Level,4,Level FINER,False,NULL
5,Level,5,Level FINEST,False,NULL
5,Level,6,Level INFO,False,NULL
5,Level,7,Level OFF,False,NULL
5,Level,8,Level SEVERE,False,NULL
5,Level,9,Level WARNING,False,NULL
5,Level,10,Level parse(String s),True,Parse a level name string into a Level.
6,Logger,1,void setLevel(Level newLevel),True,Set the log level specifying which message levels will be logged by this logger.
6,Logger,2,"void log(Level level, String msg)",True,"Log a message, with no arguments."
6,Logger,3,"void log(Level level, String msg, Throwable thrown)",True,"Log a message, with associated Throwable information."
6,Logger,4,void log(LogRecord record),True,Log a LogRecord.
6,Logger,5,void severe(String msg),True,Log a SEVERE message.
7,LoggingPermission,1,"LoggingPermission(String name, String actions)",False,NULL
7,LoggingPermission,2,String getActions(),False,NULL
7,LoggingPermission,3,String getName(),False,NULL
7,LoggingPermission,4,boolean implies(Permission p),False,NULL
7,LoggingPermission,5,boolean equals(Object obj),False,NULL
8,LogManager,1,void reset(),True,Reset the logging configuration.
