Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,Attributes2Impl,1,"int getIndex(String uri, String localName)",False,NULL
0,Attributes2Impl,2,String getType(int index),False,NULL
0,Attributes2Impl,3,"String getType(String uri, String localName)",False,NULL
0,Attributes2Impl,4,String getValue(int index),False,NULL
0,Attributes2Impl,5,"String getValue(String uri, String localName)",False,NULL
1,DefaultHandler2,1,boolean add(E e),False,NULL
1,DefaultHandler2,2,"boolean add(int index, E element)",False,NULL
1,DefaultHandler2,3,boolean addAll(Collection<? extends E> c),False,NULL
1,DefaultHandler2,4,"boolean addAll(int index, Collection<? extends E> c)",False,NULL
1,DefaultHandler2,5,boolean contains(Object o),False,NULL
1,DefaultHandler2,6,E get(int index),False,NULL
1,DefaultHandler2,7,int indexOf(Object o),False,NULL
1,DefaultHandler2,8,boolean isEmpty(),False,NULL
1,DefaultHandler2,9,E remove(int index),False,NULL
1,DefaultHandler2,10,boolean remove(Object o),False,NULL
1,DefaultHandler2,11,"E set(int index, E element)",False,NULL
1,DefaultHandler2,12,int size(),False,NULL
1,DefaultHandler2,13,"List<E> subList(int fromIndex, int toIndex)",False,NULL
1,DefaultHandler2,14,Object[] toArray(),False,NULL
1,DefaultHandler2,15,<T> T[] toArray(T[] a),False,NULL
1,DefaultHandler2,16,void clear(),False,NULL
1,DefaultHandler2,17,boolean containsAll(Collection<?> c),False,NULL
1,DefaultHandler2,18,boolean equals(Object o),False,NULL
1,DefaultHandler2,19,int hashCode(),False,NULL
1,DefaultHandler2,20,boolean removeAll(Collection<?> c),False,NULL
1,DefaultHandler2,21,boolean retainAll(Collection<?> c),False,NULL
1,DefaultHandler2,22,ListIterator<E> listIterator(int index),False,NULL
1,DefaultHandler2,23,ListIterator<E> listIterator(),False,NULL
1,DefaultHandler2,24,boolean equals(Object o),False,NULL
1,DefaultHandler2,25,int hashCode(),False,NULL
1,DefaultHandler2,26,String toString(),False,NULL
2,Locator2Impl,1,int getLineNumber(),False,NULL
2,Locator2Impl,2,int getColumnNumber(),False,NULL
2,Locator2Impl,3,String getPublicId(),False,NULL
2,Locator2Impl,4,String getSystemId(),False,NULL
2,Locator2Impl,5,String getBaseURI(),False,NULL
