Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,AccessControlContext,1,boolean checkPermission(Permission perm),False,NULL
0,AccessControlContext,2,"void checkPermission(Permission perm, Object context)",False,NULL
0,AccessControlContext,3,void setReadOnly(),False,NULL
0,AccessControlContext,4,void setWriteable(),False,NULL
0,AccessControlContext,5,boolean isReadOnly(),False,NULL
1,AccessController,1,void checkPermission(Permission perm),True,"Determines whether the access request indicated by the specified permission should be allowed or denied, based on the current AccessControlContext and security policy."
1,AccessController,2,"void checkPermission(Permission perm, Object context)",False,NULL
1,AccessController,3,void checkSecurityAccess(String target),False,NULL
1,AccessController,4,"void checkSecurityAccess(String target, Object context)",False,NULL
1,AccessController,5,void checkPrivileged(PrivilegedAction<?> action),False,NULL
1,AccessController,6,<T> T doPrivileged(PrivilegedExceptionAction<T> action),True,Performs the specified PrivilegedExceptionAction with privileges enabled.
1,AccessController,7,"void doPrivileged(PrivilegedAction<?> action, AccessControlContext context)",False,NULL
1,AccessController,8,"<T> T doPrivileged(PrivilegedExceptionAction<T> action, AccessControlContext context)",True,Performs the specified PrivilegedExceptionAction with privileges enabled and restricted by the specified AccessControlContext.
1,AccessController,9,Object getStackAccessControlContext(),False,NULL
1,AccessController,10,void setStackAccessControlContext(AccessControlContext context),False,NULL
2,AlgorithmParameterGenerator,1,void init(SecureRandom random),False,NULL
2,AlgorithmParameterGenerator,2,AlgorithmParameterGeneratorSpi getInstance(String algorithm),False,NULL
2,AlgorithmParameterGenerator,3,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, String provider)",False,NULL
2,AlgorithmParameterGenerator,4,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, Provider provider)",False,NULL
2,AlgorithmParameterGenerator,5,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, String provider, ClassLoader loader)",False,NULL
2,AlgorithmParameterGenerator,6,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, Provider provider, ClassLoader loader)",False,NULL
2,AlgorithmParameterGenerator,7,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, String provider, ClassLoader loader, Class<?> parameterClass)",False,NULL
2,AlgorithmParameterGenerator,8,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, Provider provider, ClassLoader loader, Class<?> parameterClass)",False,NULL
2,AlgorithmParameterGenerator,9,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, String provider, ClassLoader loader, Class<?> parameterClass, Class<?> keyClass)",False,NULL
2,AlgorithmParameterGenerator,10,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, Provider provider, ClassLoader loader, Class<?> parameterClass, Class<?> keyClass)",False,NULL
2,AlgorithmParameterGenerator,11,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, String provider, ClassLoader loader, Class<?> parameterClass, Class<?> keyClass, Class<?> secureRandomClass)",False,NULL
2,AlgorithmParameterGenerator,12,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, Provider provider, ClassLoader loader, Class<?> parameterClass, Class<?> keyClass, Class<?> secureRandomClass)",False,NULL
2,AlgorithmParameterGenerator,13,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, String provider, ClassLoader loader, Class<?> parameterClass, Class<?> keyClass, Class<?> secureRandomClass, Class<?> domainParameterClass)",False,NULL
2,AlgorithmParameterGenerator,14,"AlgorithmParameterGeneratorSpi getInstance(String algorithm, Provider provider, ClassLoader loader, Class<?> parameterClass, Class<?> keyClass, Class<?> secureRandomClass, Class<?> domainParameterClass)",False,NULL
3,AlgorithmParameterGeneratorSpi,1,AlgorithmParameterGeneratorSpi(),False,NULL
3,AlgorithmParameterGeneratorSpi,2,init(SecureRandom random),False,NULL
3,AlgorithmParameterGeneratorSpi,3,generateParameters(),False,NULL
3,AlgorithmParameterGeneratorSpi,4,setParameter(AlgorithmParameterSpec params),False,NULL
3,AlgorithmParameterGeneratorSpi,5,getParameter(AlgorithmParameterSpec params),False,NULL
4,AlgorithmParameters,1,AlgorithmParameters getInstance(String algorithm),True,Returns a parameter object for the specified algorithm.
4,AlgorithmParameters,2,"AlgorithmParameters getInstance(String algorithm, String provider)",True,Returns a parameter object for the specified algorithm.
4,AlgorithmParameters,3,"AlgorithmParameters getInstance(String algorithm, Provider provider)",True,Returns a parameter object for the specified algorithm.
4,AlgorithmParameters,4,"AlgorithmParameters getInstance(String algorithm, String provider, ClassLoader loader)",False,NULL
4,AlgorithmParameters,5,"AlgorithmParameters getInstance(String algorithm, Provider provider, ClassLoader loader)",False,NULL
5,AlgorithmParametersSpi,1,boolean engineInit(byte[] params),False,NULL
