Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,AttachmentPart,1,void clear(),False
0,AttachmentPart,2,InputStream getBase64Content(),True
0,AttachmentPart,3,String getContentId(),True
0,AttachmentPart,4,String getContentType(),True
0,AttachmentPart,5,void setContentType(String type),True
1,MessageFactory,1,SOAPMessage createMessage(),True
1,MessageFactory,2,"SOAPMessage createMessage(MimeHeaders headers, InputStream in)",True
1,MessageFactory,3,"SOAPMessage createMessage(MimeHeaders headers, byte[] data)",False
1,MessageFactory,4,"SOAPMessage createMessage(MimeHeaders headers, Source msgContent)",False
1,MessageFactory,5,"SOAPMessage createMessage(MimeHeaders headers, String protocol)",False
2,MimeHeader,1,String getName(),True
2,MimeHeader,2,String getValue(),True
2,MimeHeader,3,void setName(String name),False
2,MimeHeader,4,void setValue(String value),False
2,MimeHeader,5,String toString(),False
3,MimeHeaders,1,"void addHeader(String name, String value)",True
3,MimeHeaders,2,String getHeader(String name),False
3,MimeHeaders,3,Iterator getAllHeaders(),True
3,MimeHeaders,4,int size(),False
3,MimeHeaders,5,void removeAllHeaders(),True
4,SAAJMetaFactory,1,SOAPFactory newInstance(),False
4,SAAJMetaFactory,2,MessageFactory newMessageFactory(String protocol),True
4,SAAJMetaFactory,3,SOAPElement createElement(Name name),False
4,SAAJMetaFactory,4,SOAPElement createElement(QName qname),False
4,SAAJMetaFactory,5,Detail createDetail(),False
5,SAAJResult,1,SOAPElement getSOAPElement(),False
5,SAAJResult,2,void setDocument(Document document),False
5,SAAJResult,3,Document getDocument(),False
5,SAAJResult,4,void setNode(Node node),False
5,SAAJResult,5,Node getNode(),False
6,SOAPConnection,1,"SOAPMessage call(SOAPMessage request, Object to)",True
6,SOAPConnection,2,void close(),True
6,SOAPConnection,3,SOAPMessage get(Object to),True
6,SOAPConnection,4,void setEndpoint(String url),False
6,SOAPConnection,5,void setRequestTimeout(int timeout),False
7,SOAPConnectionFactory,1,SOAPConnection createConnection(),True
7,SOAPConnectionFactory,2,void setRequestTimeout(int timeout),False
7,SOAPConnectionFactory,3,int getRequestTimeout(),False
7,SOAPConnectionFactory,4,void setSoapVersion(),False
7,SOAPConnectionFactory,5,String getSoapVersion(),False
8,SOAPElementFactory,1,SOAPElement createName(String localName),False
8,SOAPElementFactory,2,SOAPElement createElement(Name name),False
8,SOAPElementFactory,3,SOAPElement addTextNode(String text),False
8,SOAPElementFactory,4,SOAPElement addChildElement(String localName),False
8,SOAPElementFactory,5,"SOAPElement addAttribute(Name name, String value)",False
9,SOAPFactory,1,SOAPElement createElement(Name name),True
9,SOAPFactory,2,SOAPElement createElement(String localName),True
9,SOAPFactory,3,SOAPElement createDetail(),False
9,SOAPFactory,4,SOAPElement createHeader(Name name),False
9,SOAPFactory,5,SOAPElement createFault(),False
10,SOAPMessage,1,SOAPPart getSOAPPart(),True
10,SOAPMessage,2,SOAPEnvelope getSOAPEnvelope(),False
10,SOAPMessage,3,void saveChanges(),True
10,SOAPMessage,4,"void writeTo(OutputStream out) throws IOException, SOAPException",True
10,SOAPMessage,5,SOAPHeader getSOAPHeader(),True
11,SOAPPart,1,javax.xml.soap.SOAPEnvelope getEnvelope(),False
11,SOAPPart,2,javax.xml.soap.SOAPBody getEnvelope(),False
11,SOAPPart,3,javax.xml.soap.SOAPHeader getHeader(),False
11,SOAPPart,4,void removeAllMimeHeaders(),True
11,SOAPPart,5,void setContentId(String contentId),True
