ClassName,Method,Return Type,Description
AttachmentPart,"addMimeHeader(String name, String value)",abstract void,Adds a MIME header with the specified name and value to this AttachmentPart object.
AttachmentPart,clearContent(),abstract void,Clears out the content of this AttachmentPart object.
AttachmentPart,getAllMimeHeaders(),abstract Iterator,Retrieves all the headers for this AttachmentPart object as an iterator over the MimeHeader objects.
AttachmentPart,getBase64Content(),abstract InputStream,"Returns an InputStream which can be used to obtain the content of AttachmentPart as Base64 encoded character data, this method would base64 encode the raw bytes of the attachment and return."
AttachmentPart,getContent(),abstract Object,Gets the content of this AttachmentPart object as a Java object.
AttachmentPart,getContentId(),String,"Gets the value of the MIME header whose name is ""Content-ID""."
AttachmentPart,getContentLocation(),String,"Gets the value of the MIME header whose name is ""Content-Location""."
AttachmentPart,getContentType(),String,"Gets the value of the MIME header whose name is ""Content-Type""."
AttachmentPart,getDataHandler(),abstract DataHandler,Gets the DataHandler object for this AttachmentPart object.
AttachmentPart,getMatchingMimeHeaders(String[] names),abstract Iterator,Retrieves all MimeHeader objects that match a name in the given array.
AttachmentPart,getMimeHeader(String name),abstract String[],Gets all the values of the header identified by the given String.
AttachmentPart,getNonMatchingMimeHeaders(String[] names),abstract Iterator,Retrieves all MimeHeader objects whose name does not match a name in the given array.
AttachmentPart,getRawContent(),abstract InputStream,Gets the content of this AttachmentPart object as an InputStream as if a call had been made to getContent and no DataContentHandler had been registered for the content-type of this AttachmentPart.
AttachmentPart,getRawContentBytes(),abstract byte[],Gets the content of this AttachmentPart object as a byte[] array as if a call had been made to getContent and no DataContentHandler had been registered for the content-type of this AttachmentPart.
AttachmentPart,getSize(),abstract int,Returns the number of bytes in this AttachmentPart object.
AttachmentPart,removeAllMimeHeaders(),abstract void,Removes all the MIME header entries.
AttachmentPart,removeMimeHeader(String header),abstract void,Removes all MIME headers that match the given name.
AttachmentPart,"setBase64Content(InputStream content, String contentType)",abstract void,"Sets the content of this attachment part from the Base64 source InputStream and sets the value of the Content-Type header to the value contained in contentType, This method would first decode the base64 input and write the resulting raw bytes to the attachment."
AttachmentPart,"setContent(Object object, String contentType)",abstract void,Sets the content of this attachment part to that of the given Object and sets the value of the Content-Type header to the given type.
AttachmentPart,setContentId(String contentId),void,"Sets the MIME header whose name is ""Content-ID"" with the given value."
AttachmentPart,setContentLocation(String contentLocation),void,"Sets the MIME header whose name is ""Content-Location"" with the given value."
AttachmentPart,setContentType(String contentType),void,"Sets the MIME header whose name is ""Content-Type"" with the given value."
AttachmentPart,setDataHandler(DataHandler dataHandler),abstract void,Sets the given DataHandler object as the data handler for this AttachmentPart object.
AttachmentPart,"setMimeHeader(String name, String value)",abstract void,"Changes the first header entry that matches the given name to the given value, adding a new header if no existing header matches."
AttachmentPart,"setRawContent(InputStream content, String contentType)",abstract void,Sets the content of this attachment part to that contained by the InputStream content and sets the value of the Content-Type header to the value contained in contentType.
AttachmentPart,"setRawContentBytes(byte[] content, int offset, int len, String contentType)",abstract void,Sets the content of this attachment part to that contained by the byte[] array content and sets the value of the Content-Type header to the value contained in contentType.
MessageFactory,createMessage(),abstract SOAPMessage,"Creates a new SOAPMessage object with the default SOAPPart, SOAPEnvelope, SOAPBody, and SOAPHeader objects."
MessageFactory,"createMessage(MimeHeaders headers, InputStream in)",abstract SOAPMessage,Internalizes the contents of the given InputStream object into a new SOAPMessage object and returns the SOAPMessage object.
MessageFactory,newInstance(),static MessageFactory,"Creates a new MessageFactory object that is an instance of the default implementation (SOAP 1.1), This method uses the following ordered lookup procedure to determine the MessageFactory implementation class to load: Use the javax.xml.soap.MessageFactory system property."
MessageFactory,newInstance(String protocol),static MessageFactory,Creates a new MessageFactory object that is an instance of the specified implementation.
MimeHeader,getName(),String,Returns the name of this MimeHeader object.
MimeHeader,getValue(),String,Returns the value of this MimeHeader object.
MimeHeaders,"addHeader(String name, String value)",void,Adds a MimeHeader object with the specified name and value to this MimeHeaders object's list of headers.
MimeHeaders,getAllHeaders(),Iterator,Returns all the MimeHeaders in this MimeHeaders object.
MimeHeaders,getHeader(String name),String[],Returns all of the values for the specified header as an array of String objects.
MimeHeaders,getMatchingHeaders(String[] names),Iterator,Returns all the MimeHeader objects whose name matches a name in the given array of names.
MimeHeaders,getNonMatchingHeaders(String[] names),Iterator,Returns all of the MimeHeader objects whose name does not match a name in the given array of names.
MimeHeaders,removeAllHeaders(),void,Removes all the header entries from this MimeHeaders object.
MimeHeaders,removeHeader(String name),void,Remove all MimeHeader objects whose name matches the given name.
