ClassName,URL,Description
LogStream,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/LogStream.html,no replacement
ObjID,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/ObjID.html,An ObjID is used to identify a remote object exported to an RMI runtime.
Operation,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/Operation.html,no replacement
RemoteObject,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/RemoteObject.html,The RemoteObject class implements the java.lang.Object behavior for remote objects.
RemoteObjectInvocationHandler,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/RemoteObjectInvocationHandler.html,An implementation of the InvocationHandler interface for use with Java Remote Method Invocation (Java RMI).
RemoteServer,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/RemoteServer.html,The RemoteServer class is the common superclass to server implementations and provides the framework to support a wide range of remote reference semantics.
RemoteStub,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/RemoteStub.html,"Statically generated stubs are deprecated, since stubs are generated dynamically."
RMIClassLoader,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/RMIClassLoader.html,RMIClassLoader comprises static methods to support dynamic class loading with RMI.
RMIClassLoaderSpi,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/RMIClassLoaderSpi.html,RMIClassLoaderSpi is the service provider interface for RMIClassLoader.
RMISocketFactory,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/RMISocketFactory.html,An RMISocketFactory instance is used by the RMI runtime in order to obtain client and server sockets for RMI calls.
UID,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/UID.html,"A UID represents an identifier that is unique over time with respect to the host it is generated on, or one of 216 ""well-known"" identifiers."
UnicastRemoteObject,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/UnicastRemoteObject.html,Used for exporting a remote object with JRMP and obtaining a stub that communicates to the remote object.
