Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,PrintEvent,1,PrintEvent(),False,NULL
0,PrintEvent,2,PrintEvent(PrintServiceAttributeChangeEvent source),False,NULL
0,PrintEvent,3,"PrintEvent(PrintServiceAttributeChangeEvent source, int type)",False,NULL
0,PrintEvent,4,"PrintEvent(PrintServiceAttributeChangeEvent source, int type, PrintServiceAttribute oldAttribute, PrintServiceAttribute newAttribute)",False,NULL
0,PrintEvent,5,"PrintEvent(PrintServiceAttributeChangeEvent source, int type, PrintServiceAttribute oldAttribute, PrintServiceAttribute newAttribute, PrintServiceAttributeChange[] changes)",False,NULL
1,PrintJobAdapter,1,void printDataTransferCompleted(PrintJobEvent pje),True,"Called to notify the client that data has been successfully transferred to the print service, and the client may free local resources allocated for that data."
1,PrintJobAdapter,2,void printJobCanceled(PrintJobEvent pje),True,Called to notify the client that the job was canceled by user or program.
1,PrintJobAdapter,3,void printJobCompleted(PrintJobEvent pje),True,Called to notify the client that the job completed successfully.
1,PrintJobAdapter,4,void printJobFailed(PrintJobEvent pje),True,Called to notify the client that the job failed to complete successfully and will have to be resubmitted.
1,PrintJobAdapter,5,void printJobNoMoreEvents(PrintJobEvent pje),True,Called to notify the client that no more events will be delivered.
1,PrintJobAdapter,6,void printJobRequiresAttention(PrintJobEvent pje),True,Called to notify the client that some possibly user rectifiable problem occurs (eg printer out of paper).
1,PrintJobAdapter,7,void printJobSuspended(PrintJobEvent pje),False,NULL
1,PrintJobAdapter,8,void printJobWaited(PrintJobEvent pje),False,NULL
1,PrintJobAdapter,9,void printServiceError(PrintServiceEvent pse),False,NULL
1,PrintJobAdapter,10,void printServiceNoMoreEvents(PrintServiceEvent pse),False,NULL
1,PrintJobAdapter,11,void printServiceNotify(PrintServiceEvent pse),False,NULL
1,PrintJobAdapter,12,void printServiceStateChanged(PrintServiceEvent pse),False,NULL
1,PrintJobAdapter,13,void printServiceWarning(PrintServiceEvent pse),False,NULL
2,PrintJobAttributeEvent,1,PrintJobAttributeEvent(),False,NULL
2,PrintJobAttributeEvent,2,PrintJob getPrintJob(),False,NULL
2,PrintJobAttributeEvent,3,PrintRequestAttribute[] getAttributes(),False,NULL
2,PrintJobAttributeEvent,4,"PrintRequestAttribute getAttribute(PrintRequestAttributeSet set, PrintRequestAttribute attribute)",False,NULL
2,PrintJobAttributeEvent,5,PrintRequestAttributeSet getAttributeSet(),False,NULL
3,PrintJobEvent,1,PrintJobEvent(),False,NULL
3,PrintJobEvent,2,getPrintJob(),False,NULL
3,PrintJobEvent,3,getSource(),False,NULL
3,PrintJobEvent,4,getTimeStamp(),False,NULL
3,PrintJobEvent,5,getType(),False,NULL
4,PrintServiceAttributeEvent,1,PrintServiceAttributeEvent(),False,NULL
4,PrintServiceAttributeEvent,2,PrintService getPrintService(),True,Returns the print service.
4,PrintServiceAttributeEvent,3,PrintServiceAttributeEvent.Source getSource(),False,NULL
4,PrintServiceAttributeEvent,4,PrintServiceAttributeEvent.Type getType(),False,NULL
4,PrintServiceAttributeEvent,5,Object getOldValue(),False,NULL
4,PrintServiceAttributeEvent,6,Object getNewValue(),False,NULL
