Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,IIOImage,1,"IIOImage(RenderedImage image, IIOParam[] params)",False,NULL
0,IIOImage,2,RenderedImage getRenderedImage(),True,"Returns the currently set RenderedImage, or null if only a Raster is available."
0,IIOImage,3,IIOParam[] getParams(),False,NULL
0,IIOImage,4,void setRenderedImage(RenderedImage image),True,Sets the current RenderedImage.
0,IIOImage,5,void setParams(IIOParam[] params),False,NULL
1,IIOParam,1,boolean canWriteTiles(),False,NULL
1,IIOParam,2,boolean isTileMode(),False,NULL
1,IIOParam,3,boolean isTiling(),False,NULL
1,IIOParam,4,boolean isTilingSupported(),False,NULL
1,IIOParam,5,"boolean isTilingSupported(int minTileWidth, int minTileHeight)",False,NULL
2,ImageIO,1,BufferedImage read(InputStream in) throws IOException,True,Returns a BufferedImage as the result of decoding a supplied InputStream with an ImageReader chosen automatically from among those currently registered.
2,ImageIO,2,"void write(RenderedImage im, String formatName, OutputStream out) throws IOException",False,NULL
2,ImageIO,3,Iterator<ImageReader> getImageReaders(MediaReader paramMediaReader),False,NULL
2,ImageIO,4,Iterator<ImageWriter> getImageWriters(MediaWriter paramMediaWriter),False,NULL
2,ImageIO,5,ImageReader getImageReader(MediaReader paramMediaReader),False,NULL
3,ImageReader,1,ImageReadParam getDefaultReadParam(),True,Returns a default ImageReadParam object appropriate for this format.
3,ImageReader,2,int getWidth(int imageIndex),True,Returns the width in pixels of the given image within the input source.
3,ImageReader,3,int getHeight(int imageIndex),True,Returns the height in pixels of the given image within the input source.
3,ImageReader,4,int getMinTileWidth(),False,NULL
3,ImageReader,5,int getMinTileHeight(),False,NULL
3,ImageReader,6,int getNumTilesX(),False,NULL
3,ImageReader,7,int getNumTilesY(),False,NULL
3,ImageReader,8,int getNumTiles(),False,NULL
3,ImageReader,9,int getTileWidth(int tileIndex),True,Returns the width of a tile in the given image.
3,ImageReader,10,int getTileHeight(int tileIndex),True,Returns the height of a tile in the given image.
3,ImageReader,11,int getTileGridXOffset(int tileIndex),True,"Returns the X coordinate of the upper-left corner of tile (0, 0) in the given image."
3,ImageReader,12,int getTileGridYOffset(int tileIndex),True,"Returns the Y coordinate of the upper-left corner of tile (0, 0) in the given image."
3,ImageReader,13,int getTileGridOffset(int tileIndex),False,NULL
