FileName,Compilable,Runnable,Correct
DefaultPersistenceDelegate_4,True,True,True
DefaultPersistenceDelegate_5,False,False,False
Encoder_1,False,False,False
Encoder_2,False,False,False
Encoder_3,True,True,True
Encoder_4,True,True,True
Encoder_5,True,True,True
Expression_1,False,False,False
Expression_2,True,False,False
Expression_3,True,True,True
FeatureDescriptor_1,True,True,True
FeatureDescriptor_2,True,True,True
FeatureDescriptor_4,True,True,True
FeatureDescriptor_5,True,True,True
IndexedPropertyChangeEvent_1,False,False,False
Introspector_3,True,True,True
PropertyChangeEvent_1,False,False,False
PropertyChangeEvent_2,False,False,False
PropertyChangeEvent_3,True,True,True
PropertyChangeEvent_5,True,True,True
PropertyChangeListenerProxy_3,False,False,False
PropertyChangeSupport_1,False,False,False
PropertyChangeSupport_2,True,True,True
PropertyChangeSupport_3,True,True,True
PropertyChangeSupport_4,True,True,True
PropertyChangeSupport_5,True,True,True
PropertyDescriptor_2,True,True,True
PropertyDescriptor_3,True,True,True
PropertyDescriptor_4,True,True,True
PropertyEditorManager_1,False,False,False
PropertyEditorManager_3,True,True,True
PropertyEditorManager_5,True,True,True
SimpleBeanInfo_1,False,False,False
SimpleBeanInfo_2,True,False,False
SimpleBeanInfo_3,True,False,False
SimpleBeanInfo_4,True,True,True
SimpleBeanInfo_5,False,False,False
VetoableChangeSupport_1,False,False,False
VetoableChangeSupport_2,False,False,False
VetoableChangeSupport_3,False,False,False
VetoableChangeSupport_4,False,False,False
VetoableChangeSupport_5,False,False,False
XMLDecoder_1,True,True,True
XMLDecoder_2,True,False,False
XMLDecoder_3,False,False,False
XMLDecoder_4,False,False,False
XMLEncoder_3,True,True,True
XMLEncoder_4,False,False,False
XMLEncoder_5,True,True,True
