Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,Matcher,1,Pattern compile(String regex),False,NULL
0,Matcher,2,Matcher matcher(CharSequence input),False,NULL
0,Matcher,3,boolean find(),True,Attempts to find the next subsequence of the input sequence that matches the pattern.
0,Matcher,4,boolean matches(),True,Attempts to match the entire region against the pattern.
0,Matcher,5,boolean lookingAt(),True,"Attempts to match the input sequence, starting at the beginning of the region, against the pattern."
1,Pattern,1,Pattern compile(String regex),True,Compiles the given regular expression into a pattern.
1,Pattern,2,Matcher matcher(CharSequence input),True,Creates a matcher that will match the given input against this pattern.
1,Pattern,3,String pattern(),True,Returns the regular expression from which this pattern was compiled.
1,Pattern,4,String[] split(CharSequence input),True,Splits the given input sequence around matches of this pattern.
1,Pattern,5,"String[] split(CharSequence input, int limit)",True,Splits the given input sequence around matches of this pattern.
