ClassName,URL,Description
CertPathTrustManagerParameters,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/CertPathTrustManagerParameters.html,A wrapper for CertPathParameters.
ExtendedSSLSession,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/ExtendedSSLSession.html,Extends the SSLSession interface to support additional session attributes.
HandshakeCompletedEvent,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/HandshakeCompletedEvent.html,This event indicates that an SSL handshake completed on a given SSL connection.
HttpsURLConnection,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/HttpsURLConnection.html,HttpsURLConnection extends HttpURLConnection with support for https-specific features.
KeyManagerFactory,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/KeyManagerFactory.html,This class acts as a factory for key managers based on a source of key material.
KeyManagerFactorySpi,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/KeyManagerFactorySpi.html,This class defines the Service Provider Interface (SPI) for the KeyManagerFactory class.
KeyStoreBuilderParameters,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/KeyStoreBuilderParameters.html,A parameters object for X509KeyManagers that encapsulates a List of KeyStore.Builders.
SNIHostName,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SNIHostName.html,Instances of this class represent a server name of type host_name in a Server Name Indication (SNI) extension.
SNIMatcher,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SNIMatcher.html,Instances of this class represent a matcher that performs match operations on an SNIServerName instance.
SNIServerName,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SNIServerName.html,Instances of this class represent a server name in a Server Name Indication (SNI) extension.
SSLContext,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLContext.html,Instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or SSLEngines.
SSLContextSpi,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLContextSpi.html,This class defines the Service Provider Interface (SPI) for the SSLContext class.
SSLEngine,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLEngine.html,"A class which enables secure communications using protocols such as the Secure Sockets Layer (SSL) or IETF RFC 2246 ""Transport Layer Security"" (TLS) protocols, but is transport independent."
SSLEngineResult,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLEngineResult.html,An encapsulation of the result state produced by SSLEngine I/O calls.
SSLParameters,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLParameters.html,Encapsulates parameters for an SSL/TLS connection.
SSLPermission,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLPermission.html,This class is for various network permissions.
SSLServerSocket,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLServerSocket.html,This class extends ServerSockets and provides secure server sockets using protocols such as the Secure Sockets Layer (SSL) or Transport Layer Security (TLS) protocols.
SSLServerSocketFactory,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLServerSocketFactory.html,SSLServerSocketFactorys create SSLServerSockets.
SSLSessionBindingEvent,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLSessionBindingEvent.html,This event is propagated to a SSLSessionBindingListener.
SSLSocket,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLSocket.html,"This class extends Sockets and provides secure socket using protocols such as the ""Secure Sockets Layer"" (SSL) or IETF ""Transport Layer Security"" (TLS) protocols."
SSLSocketFactory,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/SSLSocketFactory.html,SSLSocketFactorys create SSLSockets.
StandardConstants,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/StandardConstants.html,Standard constants definitions
TrustManagerFactory,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/TrustManagerFactory.html,This class acts as a factory for trust managers based on a source of trust material.
TrustManagerFactorySpi,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/TrustManagerFactorySpi.html,This class defines the Service Provider Interface (SPI) for the TrustManagerFactory class.
X509ExtendedKeyManager,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/X509ExtendedKeyManager.html,Abstract class that provides for extension of the X509KeyManager interface.
X509ExtendedTrustManager,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/X509ExtendedTrustManager.html,Extensions to the X509TrustManager interface to support SSL/TLS connection sensitive trust management.
