Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,AddressHelper,1,void setAddress(String address),False
0,AddressHelper,2,String getAddress(),False
0,AddressHelper,3,boolean equals(Object obj),False
0,AddressHelper,4,int hashCode(),False
0,AddressHelper,5,String toString(),False
1,InvalidAddressHelper,1,"void insert(org.omg.CORBA.Any a, org.omg.CORBA.portable.InputStream is)",False
1,InvalidAddressHelper,2,org.omg.CORBA.Any extract(org.omg.CORBA.portable.InputStream is),False
1,InvalidAddressHelper,3,org.omg.CORBA.portable.OutputStream create(org.omg.CORBA.ORB orb),False
1,InvalidAddressHelper,4,"void write(org.omg.CORBA.portable.OutputStream os, org.omg.CORBA.Any val)",False
1,InvalidAddressHelper,5,org.omg.CORBA.Any read(org.omg.CORBA.portable.InputStream is),False
2,InvalidAddressHolder,1,void set(org.omg.CORBA.Any a),False
2,InvalidAddressHolder,2,org.omg.CORBA.Any get(),False
2,InvalidAddressHolder,3,InvalidAddressHolder(org.omg.CORBA.Any initialValue),False
2,InvalidAddressHolder,4,InvalidAddressHolder(),False
2,InvalidAddressHolder,5,void _read(org.omg.CORBA.portable.InputStream istream),False
3,StringNameHelper,1,void insert_string(String[] value),False
3,StringNameHelper,2,String[] extract_string(),False
3,StringNameHelper,3,void read(org.omg.CORBA.portable.InputStream istream),False
3,StringNameHelper,4,void write(org.omg.CORBA.portable.OutputStream ostream),False
3,StringNameHelper,5,TypeCode type(),True
4,URLStringHelper,1,"void insert(int index, String url)",False
4,URLStringHelper,2,String get(int index),False
4,URLStringHelper,3,int size(),False
4,URLStringHelper,4,void remove(int index),False
4,URLStringHelper,5,boolean contains(String url),False
