ClassName,URL,Description
DocFlavor,https://docs.oracle.com/javase/8/docs/api/javax/print/DocFlavor.html,Class DocFlavor encapsulates an object that specifies the format in which print data is supplied to a DocPrintJob.
DocFlavor.BYTE_ARRAY,https://docs.oracle.com/javase/8/docs/api/javax/print/DocFlavor.BYTE_ARRAY.html,Class DocFlavor.BYTE_ARRAY provides predefined static constant DocFlavor objects for example doc flavors using a byte array (byte[]) as the print data representation class.
DocFlavor.CHAR_ARRAY,https://docs.oracle.com/javase/8/docs/api/javax/print/DocFlavor.CHAR_ARRAY.html,Class DocFlavor.CHAR_ARRAY provides predefined static constant DocFlavor objects for example doc flavors using a character array (char[]) as the print data representation class.
DocFlavor.INPUT_STREAM,https://docs.oracle.com/javase/8/docs/api/javax/print/DocFlavor.INPUT_STREAM.html,Class DocFlavor.INPUT_STREAM provides predefined static constant DocFlavor objects for example doc flavors using a byte stream (java.io.InputStream) as the print data representation class.
DocFlavor.READER,https://docs.oracle.com/javase/8/docs/api/javax/print/DocFlavor.READER.html,Class DocFlavor.READER provides predefined static constant DocFlavor objects for example doc flavors using a character stream (java.io.Reader) as the print data representation class.
DocFlavor.SERVICE_FORMATTED,https://docs.oracle.com/javase/8/docs/api/javax/print/DocFlavor.SERVICE_FORMATTED.html,Class DocFlavor.SERVICE_FORMATTED provides predefined static constant DocFlavor objects for example doc flavors for service formatted print data.
DocFlavor.STRING,https://docs.oracle.com/javase/8/docs/api/javax/print/DocFlavor.STRING.html,Class DocFlavor.STRING provides predefined static constant DocFlavor objects for example doc flavors using a string (java.lang.String) as the print data representation class.
DocFlavor.URL,https://docs.oracle.com/javase/8/docs/api/javax/print/DocFlavor.URL.html,Class DocFlavor.URL provides predefined static constant DocFlavor objects.
PrintServiceLookup,https://docs.oracle.com/javase/8/docs/api/javax/print/PrintServiceLookup.html,Implementations of this class provide lookup services for print services (typically equivalent to printers) of a particular type.
ServiceUI,https://docs.oracle.com/javase/8/docs/api/javax/print/ServiceUI.html,This class is a collection of UI convenience methods which provide a graphical user dialog for browsing print services looked up through the Java Print Service API.
ServiceUIFactory,https://docs.oracle.com/javase/8/docs/api/javax/print/ServiceUIFactory.html,Services may optionally provide UIs which allow different styles of interaction in different roles.
SimpleDoc,https://docs.oracle.com/javase/8/docs/api/javax/print/SimpleDoc.html,This class is an implementation of interface Doc that can be used in many common printing requests.
StreamPrintService,https://docs.oracle.com/javase/8/docs/api/javax/print/StreamPrintService.html,This class extends PrintService and represents a print service that prints data in different formats to a client-provided output stream.
StreamPrintServiceFactory,https://docs.oracle.com/javase/8/docs/api/javax/print/StreamPrintServiceFactory.html,"A StreamPrintServiceFactory is the factory for StreamPrintService instances, which can print to an output stream in a particular document format described as a mime type."
