ClassName,Method,Return Type,Description
ActivationDataFlavor,equals(DataFlavor dataFlavor),boolean,Compares the DataFlavor passed in with this DataFlavor; calls the isMimeTypeEqual method.
ActivationDataFlavor,getHumanPresentableName(),String,Return the Human Presentable name.
ActivationDataFlavor,getMimeType(),String,Return the MIME type for this DataFlavor.
ActivationDataFlavor,getRepresentationClass(),Class,Return the representation class.
ActivationDataFlavor,isMimeTypeEqual(String mimeType),boolean,Is the string representation of the MIME type passed in equivalent to the MIME type of this DataFlavor.
ActivationDataFlavor,normalizeMimeType(String mimeType),protected String,Deprecated.
ActivationDataFlavor,"normalizeMimeTypeParameter(String parameterName, String parameterValue)",protected String,Deprecated.
ActivationDataFlavor,setHumanPresentableName(String humanPresentableName),void,Set the human presentable name.
CommandInfo,getCommandClass(),String,Return the command's class name.
CommandInfo,getCommandName(),String,Return the command verb.
CommandInfo,"getCommandObject(DataHandler dh, ClassLoader loader)",Object,Return the instantiated JavaBean component.
CommandMap,createDataContentHandler(String mimeType),abstract DataContentHandler,Locate a DataContentHandler that corresponds to the MIME type.
CommandMap,"createDataContentHandler(String mimeType, DataSource ds)",DataContentHandler,Locate a DataContentHandler that corresponds to the MIME type.
CommandMap,getAllCommands(String mimeType),abstract CommandInfo[],Get all the available commands for this type.
CommandMap,"getAllCommands(String mimeType, DataSource ds)",CommandInfo[],Get all the available commands for this type.
CommandMap,"getCommand(String mimeType, String cmdName)",abstract CommandInfo,Get the default command corresponding to the MIME type.
CommandMap,"getCommand(String mimeType, String cmdName, DataSource ds)",CommandInfo,Get the default command corresponding to the MIME type.
CommandMap,getDefaultCommandMap(),static CommandMap,Get the default CommandMap.
CommandMap,getMimeTypes(),String[],Get all the MIME types known to this command map.
CommandMap,getPreferredCommands(String mimeType),abstract CommandInfo[],Get the preferred command list from a MIME Type.
CommandMap,"getPreferredCommands(String mimeType, DataSource ds)",CommandInfo[],Get the preferred command list from a MIME Type.
CommandMap,setDefaultCommandMap(CommandMap commandMap),static void,Set the default CommandMap.
DataHandler,getAllCommands(),CommandInfo[],Return all the commands for this type of data.
DataHandler,getBean(CommandInfo cmdinfo),Object,"A convenience method that takes a CommandInfo object and instantiates the corresponding command, usually a JavaBean component."
DataHandler,getCommand(String cmdName),CommandInfo,Get the command cmdName.
DataHandler,getContent(),Object,Return the data in its preferred Object form.
DataHandler,getContentType(),String,Return the MIME type of this object as retrieved from the source object.
DataHandler,getDataSource(),DataSource,Return the DataSource associated with this instance of DataHandler.
DataHandler,getInputStream(),InputStream,Get the InputStream for this object.
DataHandler,getName(),String,Return the name of the data object.
DataHandler,getOutputStream(),OutputStream,Get an OutputStream for this DataHandler to allow overwriting the underlying data.
DataHandler,getPreferredCommands(),CommandInfo[],Return the preferred commands for this type of data.
DataHandler,getTransferData(DataFlavor flavor),Object,Returns an object that represents the data to be transferred.
DataHandler,getTransferDataFlavors(),DataFlavor[],Return the DataFlavors in which this data is available.
DataHandler,isDataFlavorSupported(DataFlavor flavor),boolean,Returns whether the specified data flavor is supported for this object.
DataHandler,setCommandMap(CommandMap commandMap),void,Set the CommandMap for use by this DataHandler.
DataHandler,setDataContentHandlerFactory(DataContentHandlerFactory newFactory),static void,Sets the DataContentHandlerFactory.
DataHandler,writeTo(OutputStream os),void,Write the data to an OutputStream.
FileDataSource,getContentType(),String,This method returns the MIME type of the data in the form of a string.
FileDataSource,getFile(),File,Return the File object that corresponds to this FileDataSource.
FileDataSource,getInputStream(),InputStream,This method will return an InputStream representing the the data and will throw an IOException if it can not do so.
FileDataSource,getName(),String,Return the name of this object.
FileDataSource,getOutputStream(),OutputStream,This method will return an OutputStream representing the the data and will throw an IOException if it can not do so.
FileDataSource,setFileTypeMap(FileTypeMap map),void,Set the FileTypeMap to use with this FileDataSource
FileTypeMap,getContentType(File file),abstract String,Return the type of the file object.
FileTypeMap,getContentType(String filename),abstract String,Return the type of the file passed in.
FileTypeMap,getDefaultFileTypeMap(),static FileTypeMap,Return the default FileTypeMap for the system.
FileTypeMap,setDefaultFileTypeMap(FileTypeMap fileTypeMap),static void,Sets the default FileTypeMap for the system.
MailcapCommandMap,addMailcap(String mail_cap),void,Add entries to the registry.
MailcapCommandMap,createDataContentHandler(String mimeType),DataContentHandler,Return the DataContentHandler for the specified MIME type.
MailcapCommandMap,getAllCommands(String mimeType),CommandInfo[],Get all the available commands in all mailcap files known to this instance of MailcapCommandMap for this MIME type.
MailcapCommandMap,"getCommand(String mimeType, String cmdName)",CommandInfo,Get the command corresponding to cmdName for the MIME type.
MailcapCommandMap,getMimeTypes(),String[],Get all the MIME types known to this command map.
MailcapCommandMap,getNativeCommands(String mimeType),String[],Get the native commands for the given MIME type.
MailcapCommandMap,getPreferredCommands(String mimeType),CommandInfo[],Get the preferred command list for a MIME Type.
MimeType,getBaseType(),String,Return a String representation of this object without the parameter list.
MimeType,getParameter(String name),String,"Retrieve the value associated with the given name, or null if there is no current association."
MimeType,getParameters(),MimeTypeParameterList,Retrieve this object's parameter list.
MimeType,getPrimaryType(),String,Retrieve the primary type of this object.
MimeType,getSubType(),String,Retrieve the subtype of this object.
MimeType,match(MimeType type),boolean,Determine if the primary and sub type of this object is the same as what is in the given type.
MimeType,match(String rawdata),boolean,Determine if the primary and sub type of this object is the same as the content type described in rawdata.
MimeType,readExternal(ObjectInput in),void,"The object implements the readExternal method to restore its contents by calling the methods of DataInput for primitive types and readObject for objects, strings and arrays."
MimeType,removeParameter(String name),void,Remove any value associated with the given name.
MimeType,"setParameter(String name, String value)",void,"Set the value to be associated with the given name, replacing any previous association."
MimeType,setPrimaryType(String primary),void,Set the primary type for this object to the given String.
MimeType,setSubType(String sub),void,Set the subtype for this object to the given String.
MimeType,toString(),String,Return the String representation of this object.
MimeType,writeExternal(ObjectOutput out),void,"The object implements the writeExternal method to save its contents by calling the methods of DataOutput for its primitive values or calling the writeObject method of ObjectOutput for objects, strings and arrays."
MimeTypeParameterList,get(String name),String,"Retrieve the value associated with the given name, or null if there is no current association."
MimeTypeParameterList,getNames(),Enumeration,Retrieve an enumeration of all the names in this list.
MimeTypeParameterList,isEmpty(),boolean,Determine whether or not this list is empty.
MimeTypeParameterList,parse(String parameterList),protected void,A routine for parsing the parameter list out of a String.
MimeTypeParameterList,remove(String name),void,Remove any value associated with the given name.
MimeTypeParameterList,"set(String name, String value)",void,"Set the value to be associated with the given name, replacing any previous association."
MimeTypeParameterList,size(),int,Return the number of name-value pairs in this list.
MimeTypeParameterList,toString(),String,Return a string representation of this object.
MimetypesFileTypeMap,addMimeTypes(String mime_types),void,Prepend the MIME type values to the registry.
MimetypesFileTypeMap,getContentType(File f),String,Return the MIME type of the file object.
MimetypesFileTypeMap,getContentType(String filename),String,Return the MIME type based on the specified file name.
URLDataSource,getContentType(),String,Returns the value of the URL content-type header field.
URLDataSource,getInputStream(),InputStream,The getInputStream method from the URL.
URLDataSource,getName(),String,Calls the getFile method on the URL used to instantiate the object.
URLDataSource,getOutputStream(),OutputStream,The getOutputStream method from the URL.
URLDataSource,getURL(),URL,Return the URL used to create this DataSource.
