FileName,UsedPackage
ActivationDataFlavor_3,False
CommandInfo_1,True
CommandInfo_2,True
CommandMap_1,True
CommandMap_3,True
DataHandler_1,True
DataHandler_2,True
DataHandler_3,True
DataHandler_4,True
DataHandler_5,True
FileDataSource_1,True
FileDataSource_2,True
FileDataSource_3,True
FileDataSource_4,True
FileTypeMap_1,True
FileTypeMap_2,True
FileTypeMap_3,True
MailcapCommandMap_2,True
MailcapCommandMap_3,True
MailcapCommandMap_4,True
MimeTypeParameterList_1,True
MimeTypeParameterList_2,True
MimeTypeParameterList_3,True
MimeTypeParameterList_4,True
MimetypesFileTypeMap_1,True
MimetypesFileTypeMap_2,True
URLDataSource_1,True
URLDataSource_2,True
URLDataSource_3,True
URLDataSource_4,True
