PackageName,ClassName,FolderPath,FileName,Method,Follow Format,Used Package,Compilable,Runnable,ppl,API_popularity,API_length,Consistency,Probing
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_1_0,void init(),True,True,False,False,1.0188752,3993,28,0.31643224,1
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_1_1,void init(),True,True,False,False,1.0252748,3993,28,0.36321858,1
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_1_2,void init(),True,True,True,False,1.1879716,3993,28,0.43895787,0
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_1_3,void init(),True,True,False,False,1.1534481,3993,28,0.3504317,0
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_1_4,void init(),True,True,True,False,1.0757666,3993,28,0.37436455,1
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_1_5,void init(),True,False,False,False,1.0278875,3993,28,0.4337156,1
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_1_6,void init(),True,True,False,False,1.1257628,3993,28,0.24630313,0
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_1_7,void init(),True,True,False,False,1.0131541,3993,28,0.29671767,1
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_1_8,void init(),True,True,False,False,1.0286806,3993,28,0.41697142,1
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_1_9,void init(),True,True,False,False,1.0370777,3993,28,0.28126156,0
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_2_0,void start(),True,True,False,False,1.0270182,3993,29,0.32613894,1
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_2_1,void start(),True,True,False,False,1.0202225,3993,29,0.29795137,1
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_2_2,void start(),True,True,True,False,1.2330675,3993,29,0.61557746,1
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_2_3,void start(),True,True,False,False,1.0475217,3993,29,0.40832686,0
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_2_4,void start(),True,True,False,False,1.0401095,3993,29,0.4419703,0
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_2_5,void start(),True,True,False,False,1.0126618,3993,29,0.33656594,1
java.applet,Applet,./Data_Snippet/java_applet/javaFiles,Applet_2_6,void start(),True,True,False,False,1.1794043,3993,29,0.36170864,0
