Sample Number,ClassName,Snippet Number,Method,Exist,Description
0,_BindingIteratorImplBase,1,boolean hasNext(),False,NULL
0,_BindingIteratorImplBase,2,org.omg.CORBA.Object next(),False,NULL
0,_BindingIteratorImplBase,3,void remove(),False,NULL
0,_BindingIteratorImplBase,4,void reset(),False,NULL
0,_BindingIteratorImplBase,5,void destroy(),False,NULL
1,_BindingIteratorStub,1,boolean hasNext(),False,NULL
1,_BindingIteratorStub,2,org.omg.CORBA.Object next_one(),False,NULL
1,_BindingIteratorStub,3,org..omg.CORBA.Object[] next_n(int n),False,NULL
1,_BindingIteratorStub,4,void remove(),False,NULL
1,_BindingIteratorStub,5,void destroy(),True,This operation destroys the iterator.
2,_NamingContextExtStub,1,"bind(String name, Object obj)",False,NULL
2,_NamingContextExtStub,2,"rebind(String name, Object obj)",False,NULL
2,_NamingContextExtStub,3,unbind(String name),False,NULL
2,_NamingContextExtStub,4,"list(String name, Object[] obj)",False,NULL
2,_NamingContextExtStub,5,resolve(String name),False,NULL
3,_NamingContextImplBase,1,"bind(Name name, Binding binding)",False,NULL
3,_NamingContextImplBase,2,"rebind(Name name, Binding binding)",False,NULL
3,_NamingContextImplBase,3,unbind(Name name),False,NULL
3,_NamingContextImplBase,4,resolve(Name name),False,NULL
3,_NamingContextImplBase,5,"list(Name name, CosNaming.BindingList bindings, CosNaming.BindingList_slice slice)",False,NULL
4,_NamingContextStub,1,"bind(String name, Object obj)",False,NULL
4,_NamingContextStub,2,"rebind(String name, Object obj)",False,NULL
4,_NamingContextStub,3,unbind(String name),False,NULL
4,_NamingContextStub,4,"list(String name, Object[] obj)",False,NULL
4,_NamingContextStub,5,resolve(String name),False,NULL
5,Binding,1,void set_address(org.omg.CORBA.Object obj),False,NULL
5,Binding,2,org.omg.CORBA.Object get_address(),False,NULL
5,Binding,3,void set_binding_type(short type),False,NULL
5,Binding,4,short get_binding_type(),False,NULL
5,Binding,5,void set_name(org.omg.CosNaming.NamingContextPackage.Name name),False,NULL
5,Binding,6,org.omg.CosNaming.NamingContextPackage.Name get_name(),False,NULL
6,BindingHelper,1,org.omg.CosNaming.BindingHelper.narrow(org.omg.CORBA.Object obj),False,NULL
6,BindingHelper,2,"org.omg.CosNaming.BindingHelper.unbind(org.omg.CORBA.ORB orb, org.omg.CosNaming.NamingContextExt nc, org.omg.CosNaming.Name name)",False,NULL
6,BindingHelper,3,org.omg.CosNaming.BindingHelper.string_to_name(String name),False,NULL
6,BindingHelper,4,org.omg.CosNaming.BindingHelper.name_to_string(org.omg.CosNaming.Name name),False,NULL
6,BindingHelper,5,"org.omg.CosNaming.BindingHelper.bind(org.omg.CORBA.ORB orb, org.omg.CosNaming.NamingContextExt nc, org.omg.CosNaming.Name name, org.omg.CORBA.Object obj)",False,NULL
7,BindingHolder,1,void set_binding(Binding b),False,NULL
7,BindingHolder,2,Binding get_binding(),False,NULL
7,BindingHolder,3,void _set_value(Binding b),False,NULL
7,BindingHolder,4,Binding _get_value(),False,NULL
7,BindingHolder,5,void _set_type(Type t),False,NULL
7,BindingHolder,6,Type _get_type(),False,NULL
8,BindingIteratorHelper,1,boolean hasNext(),False,NULL
8,BindingIteratorHelper,2,org.omg.CosNaming.Binding next(),False,NULL
8,BindingIteratorHelper,3,org.omg.CosNaming.Binding next_one(),False,NULL
8,BindingIteratorHelper,4,org.omg.CosNaming.BindingList next_n(int n),False,NULL
8,BindingIteratorHelper,5,void remove(),False,NULL
9,BindingIteratorHolder,1,boolean hasNext(),False,NULL
9,BindingIteratorHolder,2,org.omg.CosNaming.Binding next(),False,NULL
9,BindingIteratorHolder,3,void remove(),False,NULL
9,BindingIteratorHolder,4,org.omg.CosNaming.Binding[] next_n(int n),False,NULL
9,BindingIteratorHolder,5,org.omg.CosNaming.BindingIteratorHolder value(),False,NULL
10,BindingIteratorPOA,1,boolean hasNext(),False,NULL
10,BindingIteratorPOA,2,org.omg.CosNaming.Binding next(),False,NULL
10,BindingIteratorPOA,3,void remove(),False,NULL
10,BindingIteratorPOA,4,org.omg.CosNaming.Binding[] next_n(int n),False,NULL
10,BindingIteratorPOA,5,void destroy(),False,NULL
11,BindingListHelper,1,BindingListHelper.BindingList create(),False,NULL
11,BindingListHelper,2,BindingListHelper.BindingList create(BindingList b),False,NULL
11,BindingListHelper,3,BindingListHelper.BindingList create(Binding[] b),False,NULL
