ClassName,URL,Description
CodecFactoryHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/CodecFactoryHelper.html,Codecs are obtained from the CodecFactory.
ComponentIdHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/ComponentIdHelper.html,Standard way of representing multicomponent profiles.
Encoding,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/Encoding.html,org/omg/IOP/Encoding.java .
IOR,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/IOR.html,org/omg/IOP/IOR.java .
IORHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/IORHelper.html,org/omg/IOP/IORHelper.java .
IORHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/IORHolder.html,org/omg/IOP/IORHolder.java .
MultipleComponentProfileHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/MultipleComponentProfileHelper.html,"An array of tagged components, forming a multiple component profile."
MultipleComponentProfileHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/MultipleComponentProfileHolder.html,"An array of tagged components, forming a multiple component profile."
ProfileIdHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/ProfileIdHelper.html,Profile ID
ServiceContext,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/ServiceContext.html,org/omg/IOP/ServiceContext.java .
ServiceContextHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/ServiceContextHelper.html,org/omg/IOP/ServiceContextHelper.java .
ServiceContextHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/ServiceContextHolder.html,org/omg/IOP/ServiceContextHolder.java .
ServiceContextListHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/ServiceContextListHelper.html,"An array of service contexts, forming a service context list."
ServiceContextListHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/ServiceContextListHolder.html,"An array of service contexts, forming a service context list."
ServiceIdHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/ServiceIdHelper.html,"A service id, represented as an int"
TaggedComponent,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/TaggedComponent.html,org/omg/IOP/TaggedComponent.java .
TaggedComponentHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/TaggedComponentHelper.html,org/omg/IOP/TaggedComponentHelper.java .
TaggedComponentHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/TaggedComponentHolder.html,org/omg/IOP/TaggedComponentHolder.java .
TaggedProfile,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/TaggedProfile.html,org/omg/IOP/TaggedProfile.java .
TaggedProfileHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/TaggedProfileHelper.html,org/omg/IOP/TaggedProfileHelper.java .
TaggedProfileHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/IOP/TaggedProfileHolder.html,org/omg/IOP/TaggedProfileHolder.java .
