ClassName,URL,Description
Annotation,https://docs.oracle.com/javase/8/docs/api/java/text/Annotation.html,An Annotation object is used as a wrapper for a text attribute value if the attribute has annotation characteristics.
AttributedCharacterIterator.Attribute,https://docs.oracle.com/javase/8/docs/api/java/text/AttributedCharacterIterator.Attribute.html,Defines attribute keys that are used to identify text attributes.
AttributedString,https://docs.oracle.com/javase/8/docs/api/java/text/AttributedString.html,An AttributedString holds text and related attribute information.
Bidi,https://docs.oracle.com/javase/8/docs/api/java/text/Bidi.html,This class implements the Unicode Bidirectional Algorithm.
BreakIterator,https://docs.oracle.com/javase/8/docs/api/java/text/BreakIterator.html,The BreakIterator class implements methods for finding the location of boundaries in text.
ChoiceFormat,https://docs.oracle.com/javase/8/docs/api/java/text/ChoiceFormat.html,A ChoiceFormat allows you to attach a format to a range of numbers.
CollationElementIterator,https://docs.oracle.com/javase/8/docs/api/java/text/CollationElementIterator.html,The CollationElementIterator class is used as an iterator to walk through each character of an international string.
CollationKey,https://docs.oracle.com/javase/8/docs/api/java/text/CollationKey.html,A CollationKey represents a String under the rules of a specific Collator object.
Collator,https://docs.oracle.com/javase/8/docs/api/java/text/Collator.html,The Collator class performs locale-sensitive String comparison.
DateFormat,https://docs.oracle.com/javase/8/docs/api/java/text/DateFormat.html,DateFormat is an abstract class for date/time formatting subclasses which formats and parses dates or time in a language-independent manner.
DateFormat.Field,https://docs.oracle.com/javase/8/docs/api/java/text/DateFormat.Field.html,Defines constants that are used as attribute keys in the AttributedCharacterIterator returned from DateFormat.formatToCharacterIterator and as field identifiers in FieldPosition.
DateFormatSymbols,https://docs.oracle.com/javase/8/docs/api/java/text/DateFormatSymbols.html,"DateFormatSymbols is a public class for encapsulating localizable date-time formatting data, such as the names of the months, the names of the days of the week, and the time zone data."
DecimalFormat,https://docs.oracle.com/javase/8/docs/api/java/text/DecimalFormat.html,DecimalFormat is a concrete subclass of NumberFormat that formats decimal numbers.
DecimalFormatSymbols,https://docs.oracle.com/javase/8/docs/api/java/text/DecimalFormatSymbols.html,"This class represents the set of symbols (such as the decimal separator, the grouping separator, and so on) needed by DecimalFormat to format numbers."
FieldPosition,https://docs.oracle.com/javase/8/docs/api/java/text/FieldPosition.html,FieldPosition is a simple class used by Format and its subclasses to identify fields in formatted output.
Format,https://docs.oracle.com/javase/8/docs/api/java/text/Format.html,"Format is an abstract base class for formatting locale-sensitive information such as dates, messages, and numbers."
Format.Field,https://docs.oracle.com/javase/8/docs/api/java/text/Format.Field.html,Defines constants that are used as attribute keys in the AttributedCharacterIterator returned from Format.formatToCharacterIterator and as field identifiers in FieldPosition.
MessageFormat,https://docs.oracle.com/javase/8/docs/api/java/text/MessageFormat.html,MessageFormat provides a means to produce concatenated messages in a language-neutral way.
MessageFormat.Field,https://docs.oracle.com/javase/8/docs/api/java/text/MessageFormat.Field.html,Defines constants that are used as attribute keys in the AttributedCharacterIterator returned from MessageFormat.formatToCharacterIterator.
Normalizer,https://docs.oracle.com/javase/8/docs/api/java/text/Normalizer.html,"This class provides the method normalize which transforms Unicode text into an equivalent composed or decomposed form, allowing for easier sorting and searching of text."
NumberFormat,https://docs.oracle.com/javase/8/docs/api/java/text/NumberFormat.html,NumberFormat is the abstract base class for all number formats.
NumberFormat.Field,https://docs.oracle.com/javase/8/docs/api/java/text/NumberFormat.Field.html,Defines constants that are used as attribute keys in the AttributedCharacterIterator returned from NumberFormat.formatToCharacterIterator and as field identifiers in FieldPosition.
ParsePosition,https://docs.oracle.com/javase/8/docs/api/java/text/ParsePosition.html,ParsePosition is a simple class used by Format and its subclasses to keep track of the current position during parsing.
RuleBasedCollator,https://docs.oracle.com/javase/8/docs/api/java/text/RuleBasedCollator.html,"The RuleBasedCollator class is a concrete subclass of Collator that provides a simple, data-driven, table collator."
SimpleDateFormat,https://docs.oracle.com/javase/8/docs/api/java/text/SimpleDateFormat.html,SimpleDateFormat is a concrete class for formatting and parsing dates in a locale-sensitive manner.
StringCharacterIterator,https://docs.oracle.com/javase/8/docs/api/java/text/StringCharacterIterator.html,StringCharacterIterator implements the CharacterIterator protocol for a String.
